Entity,Code,Year,SO2 emissions by country (1850-2000) (Clio Infra)
Albania,ALB,1850,215.79569800000002
Albania,ALB,1860,255.094052
Albania,ALB,1870,288.675315
Albania,ALB,1880,318.676349
Albania,ALB,1890,327.273887
Albania,ALB,1900,376.065821
Albania,ALB,1910,393.394401
Albania,ALB,1920,388.645063
Albania,ALB,1930,491.45565600000003
Albania,ALB,1940,3690.298859
Albania,ALB,1950,3330.2991519999996
Albania,ALB,1960,20844.064039999997
Albania,ALB,1970,46651.612810000006
Albania,ALB,1980,82803.36149
Albania,ALB,1990,93268.65003
Albania,ALB,2000,13465.286559999999
Algeria,DZA,1850,408.838392
Algeria,DZA,1860,455.48452299999997
Algeria,DZA,1870,502.130654
Algeria,DZA,1880,548.778565
Algeria,DZA,1890,595.4335990000001
Algeria,DZA,1900,642.3223409999999
Algeria,DZA,1910,1282.695191
Algeria,DZA,1920,1762.065775
Algeria,DZA,1930,2957.315865
Algeria,DZA,1940,1597.2612589999999
Algeria,DZA,1950,14394.69515
Algeria,DZA,1960,34148.14298999999
Algeria,DZA,1970,114227.7899
Algeria,DZA,1980,145918.81699999998
Algeria,DZA,1990,138188.0728
Algeria,DZA,2000,183656.7261
Angola,AGO,1850,276.404238
Angola,AGO,1860,278.726963
Angola,AGO,1870,299.207652
Angola,AGO,1880,346.593463
Angola,AGO,1890,402.057977
Angola,AGO,1900,453.147642
Angola,AGO,1910,485.706426
Angola,AGO,1920,548.172475
Angola,AGO,1930,617.374683
Angola,AGO,1940,693.979761
Angola,AGO,1950,1045.567276
Angola,AGO,1960,5224.349109000001
Angola,AGO,1970,10429.409720000001
Angola,AGO,1980,13434.45702
Angola,AGO,1990,29391.06021
Angola,AGO,2000,31139.776560000002
Argentina,ARG,1850,193.003793
Argentina,ARG,1860,202.15991599999998
Argentina,ARG,1870,223.330741
Argentina,ARG,1880,272.22785100000004
Argentina,ARG,1890,8874.967201000001
Argentina,ARG,1900,13425.16127
Argentina,ARG,1910,56305.183
Argentina,ARG,1920,35414.450950000006
Argentina,ARG,1930,73822.30769999999
Argentina,ARG,1940,81657.17169
Argentina,ARG,1950,88453.19739
Argentina,ARG,1960,123119.4514
Argentina,ARG,1970,166197.7103
Argentina,ARG,1980,145586.1967
Argentina,ARG,1990,112806.9715
Argentina,ARG,2000,136779.86630000002
Armenia,ARM,1850,289.471038
Armenia,ARM,1860,292.834282
Armenia,ARM,1870,337.671173
Armenia,ARM,1880,446.10952100000003
Armenia,ARM,1890,778.849711
Armenia,ARM,1900,1568.8346740000002
Armenia,ARM,1910,1459.69894
Armenia,ARM,1920,794.102617
Armenia,ARM,1930,1949.5510259999999
Armenia,ARM,1940,4913.060506
Armenia,ARM,1950,5115.328074999999
Armenia,ARM,1960,17039.68869
Armenia,ARM,1970,43867.20496
Armenia,ARM,1980,82572.00872999999
Armenia,ARM,1990,81970.6437
Armenia,ARM,2000,13365.66402
Australia,AUS,1850,9241.389708
Australia,AUS,1860,24374.75615
Australia,AUS,1870,31919.28887
Australia,AUS,1880,46178.12882
Australia,AUS,1890,46726.82842
Australia,AUS,1900,124112.29539999999
Australia,AUS,1910,214708.9395
Australia,AUS,1920,171598.4094
Australia,AUS,1930,281226.5516
Australia,AUS,1940,408649.5433
Australia,AUS,1950,417996.33469999995
Australia,AUS,1960,843618.6321
Australia,AUS,1970,1451240.3099999998
Australia,AUS,1980,1616641.8450000002
Australia,AUS,1990,1593970
Australia,AUS,2000,2374560
Austria,AUT,1850,31474.743440000002
Austria,AUT,1860,67879.55222
Austria,AUT,1870,93342.77437999999
Austria,AUT,1880,245756.4167
Austria,AUT,1890,237618.40240000002
Austria,AUT,1900,390192.27749999997
Austria,AUT,1910,631470.4336
Austria,AUT,1920,125629.5556
Austria,AUT,1930,152750.7574
Austria,AUT,1940,81357.08785
Austria,AUT,1950,205893.6256
Austria,AUT,1960,334505.78410000005
Austria,AUT,1970,475252.8921
Austria,AUT,1980,384500
Austria,AUT,1990,74240
Austria,AUT,2000,31500
Azerbaijan,AZE,1850,451.835135
Azerbaijan,AZE,1860,455.63059
Azerbaijan,AZE,1870,518.782583
Azerbaijan,AZE,1880,736.394786
Azerbaijan,AZE,1890,1593.0636709999999
Azerbaijan,AZE,1900,3535.425803
Azerbaijan,AZE,1910,3221.814774
Azerbaijan,AZE,1920,1911.886232
Azerbaijan,AZE,1930,6020.988665
Azerbaijan,AZE,1940,12736.63344
Azerbaijan,AZE,1950,12869.3648
Azerbaijan,AZE,1960,49709.856530000005
Azerbaijan,AZE,1970,144348.1596
Azerbaijan,AZE,1980,55648.21849
Azerbaijan,AZE,1990,254169.4449
Azerbaijan,AZE,2000,201106.2611
Bahrain,BHR,1850,11.494564
Bahrain,BHR,1860,12.084029
Bahrain,BHR,1870,12.20609
Bahrain,BHR,1880,12.329384000000001
