Entity,Code,Year,Marine energy,Small hydropower,Geothermal energy,Biofuels,Biomass and waste-to-energy,Wind energy,Solar energy
World,OWID_WRL,2004,0,2800000000,1100000000,3900000000,7900000000,18899999000,10700000000
World,OWID_WRL,2005,100000000,7400000000,800000000,9800001000,9300000000,27300000000,15300000000
World,OWID_WRL,2006,100000000,6800000000,1300000000,26200000000,12000000000,36300000000,21500000000
World,OWID_WRL,2007,700000000,6400000000,1700000000,26400000000,15899999000,59100000000,37500000000
World,OWID_WRL,2008,200000000,7600000000,1700000000,17600000000,16200001000,73900000000,60300000000
World,OWID_WRL,2009,300000000,5900000000,2500000000,9399999000,13399999000,73300000000,63400000000
World,OWID_WRL,2010,300000000,8200000000,2800000000,10100001000,17299999000,98300000000,101699990000
World,OWID_WRL,2011,300000000,7700000000,3800000000,10400000000,20900000000,84700000000,158800000000
World,OWID_WRL,2012,300000000,6300000000,1700000000,7700000000,15400000000,77900005000,142899990000
World,OWID_WRL,2013,200000000,5700000000,2700000000,5099999700,14600001000,83200000000,121400000000
World,OWID_WRL,2014,400000000,7400000000,2900000000,5500000000,12900000000,110699995000,148000000000
World,OWID_WRL,2015,200000000,4000000000,2500000000,3600000000,10300000000,121500000000,176199990000
World,OWID_WRL,2016,200000000,4400000000,2700000000,2099999900,13600000000,124900000000,146300010000
World,OWID_WRL,2017,200000000,3800000000,2300000000,3200000000,5700000000,129699996000,180000000000
World,OWID_WRL,2018,200000000,900000000,2300000000,3000000000,9300000000,131500000000,141100000000
