Entity,Code,Year,Bioenergy levelized cost of energy,Geothermal levelized cost of energy,Offshore wind levelized cost of energy,Solar photovoltaic levelized cost of energy,Concentrated solar power levelized cost of energy,Hydropower levelized cost of energy,Onshore wind levelized cost of energy
Australia,AUS,2010,,,,0.4239567,,,
Australia,AUS,2011,,,,0.43069142,,,
Australia,AUS,2012,,,,0.26103023,,,
Australia,AUS,2013,,,,0.1501569,,,
Australia,AUS,2014,,,,0.123621404,,,
Australia,AUS,2015,,,,0.1066126,,,
Australia,AUS,2016,,,,0.08202892,,,
Australia,AUS,2017,,,,0.089927785,,,
Australia,AUS,2018,,,,0.07406949,,,
Australia,AUS,2019,,,,0.07070799,,,
Australia,AUS,2020,,,,0.053563822,,,
Australia,AUS,2021,,,,0.04228514,,,
Brazil,BRA,1998,,,,,,,0.053076696
Brazil,BRA,2001,,,,,,,0.14041322
Brazil,BRA,2002,,,,,,,0.11920648
Brazil,BRA,2003,,,,,,,0.13523011
Brazil,BRA,2005,,,,,,,0.126946
Brazil,BRA,2006,,,,,,,0.09186466
Brazil,BRA,2007,,,,,,,0.09692162
Brazil,BRA,2008,,,,,,,0.08540316
Brazil,BRA,2009,,,,,,,0.1125968
Brazil,BRA,2010,,,,,,,0.109430514
Brazil,BRA,2011,,,,,,,0.08839128
Brazil,BRA,2012,,,,,,,0.084496714
Brazil,BRA,2013,,,,,,,0.07826178
Brazil,BRA,2014,,,,,,,0.06430881
Brazil,BRA,2015,,,,,,,0.055246472
Brazil,BRA,2016,,,,,,,0.053584162
Brazil,BRA,2017,,,,,,,0.045001924
Brazil,BRA,2018,,,,,,,0.044300146
Brazil,BRA,2019,,,,,,,0.034077007
Brazil,BRA,2020,,,,,,,0.032227434
Brazil,BRA,2021,,,,,,,0.023675622
Canada,CAN,1990,,,,,,,0.1940042
Canada,CAN,1992,,,,,,,0.18494709
Canada,CAN,1994,,,,,,,0.09279627
Canada,CAN,1996,,,,,,,0.15513031
Canada,CAN,1999,,,,,,,0.15476184
Canada,CAN,2000,,,,,,,0.12835398
Canada,CAN,2001,,,,,,,0.09705347
Canada,CAN,2002,,,,,,,0.09142099
Canada,CAN,2003,,,,,,,0.09258934
Canada,CAN,2004,,,,,,,0.09075055
Canada,CAN,2005,,,,,,,0.08295157
Canada,CAN,2006,,,,,,,0.08787881
Canada,CAN,2007,,,,,,,0.09966969
Canada,CAN,2008,,,,,,,0.10012215
Canada,CAN,2009,,,,,,,0.09946103
Canada,CAN,2010,,,,,,,0.11103799
Canada,CAN,2011,,,,,,,0.098163895
Canada,CAN,2012,,,,,,,0.108819865
Canada,CAN,2013,,,,,,,0.10019473
Canada,CAN,2014,,,,,,,0.08756866
Canada,CAN,2015,,,,,,,0.080491066
Canada,CAN,2016,,,,,,,0.080697164
Canada,CAN,2017,,,,,,,0.06509453
Canada,CAN,2018,,,,,,,0.05353617
Canada,CAN,2019,,,,,,,0.05697208
Canada,CAN,2020,,,,,,,0.03649771
Canada,CAN,2021,,,,,,,0.029625542
China,CHN,2010,,,,0.30835205,,,0.08291851
China,CHN,2011,,,,0.2696766,,,0.07829489
China,CHN,2012,,,,0.19792174,,,0.07696838
China,CHN,2013,,,,0.15542823,,,0.072256915
China,CHN,2014,,,,0.11619345,,,0.068088576
China,CHN,2015,,,,0.08657164,,,0.06324118
China,CHN,2016,,,,0.07509524,,,0.058467355
China,CHN,2017,,,,0.06575502,,,0.046077926
China,CHN,2018,,,,0.05041504,,,0.0482948
China,CHN,2019,,,,0.046723545,,,0.037572194
China,CHN,2020,,,,0.03987938,,,0.034588665
China,CHN,2021,,,,0.034198184,,,0.028007098
China,CHN,1996,,,,,,,0.18164247
China,CHN,1997,,,,,,,0.18164247
China,CHN,1998,,,,,,,0.166726
China,CHN,1999,,,,,,,0.16321819
China,CHN,2000,,,,,,,0.14922291
China,CHN,2001,,,,,,,0.12468569
China,CHN,2002,,,,,,,0.14047137
China,CHN,2003,,,,,,,0.09866734
China,CHN,2004,,,,,,,0.10413199
China,CHN,2005,,,,,,,0.10206682
China,CHN,2006,,,,,,,0.096912526
China,CHN,2007,,,,,,,0.08495954
China,CHN,2008,,,,,,,0.0898723
China,CHN,2009,,,,,,,0.09099171
Denmark,DNK,1984,,,,,,,0.2371748
Denmark,DNK,1985,,,,,,,0.22235282
Denmark,DNK,1986,,,,,,,0.21547599
Denmark,DNK,1987,,,,,,,0.20560089
Denmark,DNK,1988,,,,,,,0.21551454
Denmark,DNK,1989,,,,,,,0.19646904
Denmark,DNK,1990,,,,,,,0.19716702
Denmark,DNK,1991,,,,,,,0.1865857
Denmark,DNK,1992,,,,,,,0.18328875
Denmark,DNK,1993,,,,,,,0.1841186
Denmark,DNK,1995,,,,,,,0.15327154
Denmark,DNK,1996,,,,,,,0.14933795
Denmark,DNK,1997,,,,,,,0.15341401
Denmark,DNK,1998,,,,,,,0.15657647
Denmark,DNK,1999,,,,,,,0.15372644
Denmark,DNK,2000,,,,,,,0.16735479
Denmark,DNK,2001,,,,,,,0.16139817
Denmark,DNK,2002,,,,,,,0.11854891
Denmark,DNK,2003,,,,,,,0.09519422
Denmark,DNK,2004,,,,,,,0.08490888
Denmark,DNK,2005,,,,,,,0.09956174
Denmark,DNK,2006,,,,,,,0.123286046
Denmark,DNK,2008,,,,,,,0.11873595
Denmark,DNK,2010,,,,,,,0.11967064
Denmark,DNK,2011,,,,,,,0.11685397
Denmark,DNK,2012,,,,,,,0.09105425
Denmark,DNK,2013,,,,,,,0.08896074
Denmark,DNK,2015,,,,,,,0.063312925
