Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
energy.Secondary Fossil Energy Output,25423.09344,25132.89348,24862.7718,25094.44512,26130.19968,26610.17256,27141.13692,28043.52516,29018.67732,29616.62148,29903.1552,29985.8634,30156.86664,30209.67288,30585.81456,31151.38356,32068.39824,32408.63172,32571.59652,33098.5782,33986.493,34626.0836188235,35620.5193647059,37398.8883105882,39451.1339929412,41083.4882682353,42506.6039505882,44231.5098352941,44831.5057811765,44231.2297411765,46599.8149529412,48064.6553976471,49049.3422941177,49996.4053411765,50599.0997364706,51159.7050917647,51813.5191294118,53006.9748,54427.9352348485,54854.7307848485,52366.9693136364,55461.8398545455,55934.3389272727,
energy.Renewable Energy Output,1898.74383059988,1942.40413739988,1985.95915349868,2075.19081315156,2151.75299528088,2194.554450798,2230.5792388068,2266.26050880468,2338.80309267948,2341.4170256424,2432.4440049,2491.739084664,2502.19655964,2649.752202384,2672.918269308,2816.94236742,2857.85207874,2920.189115232,2952.863383536,2988.606554856,3057.843127104,3002.60765452612,3086.53975404706,3109.73461931294,3362.07872127294,3508.68781698823,3680.22299752941,3805.41762861177,4080.69045421882,4172.89888944,4506.51586771765,4732.55712225882,5067.89217,5419.8056456,5714.68870545882,5954.76005534118,6329.11749661177,6753.74904,7203.61589621212,7601.65034575758,8115.48130318182,8600.80806969697,9231.371185,
energy.Wind and Solar Energy Output,0.01117739988,0.01117739988,0.01969349868,0.03810435156,0.05436128088,0.080868798,0.1639516068,0.21926880468,0.36382587948,3.0998708424,4.2802281,4.887650664,5.53494204,6.664771584,8.227339308,9.48590982,10.55449674,13.602251232,17.821183536,23.560068456,34.563847104,42.3718746672941,57.6769274588235,69.7687491952941,94.3058191082353,115.835766823529,148.2505188,190.896555670588,249.217833512941,317.089166145882,404.858310776471,538.992806964706,672.800758235294,824.0425256,961.417726870588,1157.50744545882,1373.81036061176,1689.3914,1960.24960833333,2258.45268727273,2601.23374545455,3095.57176363636,3642.03065712121,
energy.Hydropower Energy Output,1843.368768,1883.026224,1917.095616,1998.9153,2066.6232,2106.9378,2135.488536,2164.361652,2233.729332,2222.271,2298.13488,2351.19888,2350.9404,2492.52156,2508.215976,2643.924744,2679.419016,2726.607816,2747.6442,2768.43384,2817.48492,2745.10714305882,2795.74484705882,2792.28254117647,2998.33184423529,3099.15847529412,3217.23144,3270.73731764706,3461.48939294118,3455.89339764706,3651.43088470588,3718.00811294118,3876.807,4032.51184,4139.92607058824,4129.74081882353,4273.40597411765,4333.8824,4450.77698484849,4507.97011212121,4631.24728636364,4556.9583030303,4605.53106666667,
energy.Nuclear Energy Output,727.234416,858.831408,931.794264,1056.04524,1281.548412,1520.941464,1629.031104,1772.03916,1931.92128,1986.83856,2043.619452,2141.39196,2157.646824,2231.953056,2273.84928,2372.47668,2458.370052,2441.46348,2483.47872,2577.978792,2636.165736,2710.60183058824,2753.92209058824,2698.12321694118,2820.74308588235,2828.14553647059,2863.39235364706,2805.02061176471,2796.32437082353,2756.75590588235,2827.79725411765,2709.46765458824,2523.67255411765,2543.82563670588,2595.77255529412,2630.72425411765,2669.86398823529,2693.7116,2752.55018181818,2850.14232151515,2741.55033636364,2857.4765030303,2731.71105848485,
energy.Other Energy Output,55.3638852,59.366736,68.843844,76.2374088,85.075434,87.535782,94.9267512,101.679588,104.7099348,116.0461548,130.0288968,135.652554,145.7212176,150.5658708,156.474954,163.5317136,167.878566,179.979048,187.398,196.6126464,205.79436,215.1286368,233.117979529412,247.683328941176,269.441057929412,293.693574870588,314.741038729412,343.783755294118,369.983227764706,399.916325647059,450.226672235294,475.556202352941,518.284411764706,563.25128,613.344908,667.511791058824,681.901161882353,730.47524,792.589303030303,835.227546363636,883.000271363636,948.278003030303,983.809461212121,
energy.Total Energy Output,29165.2060385999,28958.3238413999,28765.8265694987,29168.5512331516,30348.5758752809,30911.664810798,31507.2046948068,32474.1473208047,33591.2097446795,34180.3095056424,34633.7340849,34828.801364664,35010.00359964,35351.946642384,35766.948805308,36612.25067142,37605.66933474,38055.428651232,38272.104103536,38855.618594856,39861.821047104,40373.7984164085,41502.8039658118,43300.9054710777,45811.5445584494,47691.3345605177,49404.0583881177,51307.6647815529,52373.6856283365,51860.0220282635,54757.7617053647,56515.2206328471,57994.0414641177,59448.7228267765,60453.7145125177,61244.2059659294,62416.0426001412,64094.60624,66082.3281159091,66964.3512427273,65113.6979031818,68619.6062272727,69771.2411789394,
energy.Total Renewable Energy Capacity,,,,,,,,,,,,,,,,,,,,,715.352741,734.528475,752.785921,781.446167,812.451846,847.451199,885.138164,932.934007,992.613206,1065.355228,1148.412824,1248.12055,1356.17919,1470.10366,1596.37102,1743.69612,1897.11152,2061.47886,2227.20527,2404.5639,2664.9831,2920.71815,3207.47985,
energy.Wind and Solar Energy Capacity,,,,,,,,,,,,,,,,,,,,,18.169041,25.451675,32.559981,41.024967,51.123846,63.354899,79.663104,100.522947,130.817806,173.741928,222.675824,294.15075,371.50075,440.54126,530.17822,645.26662,768.11072,910.36946,1053.81887,1213.0859,1452.0842,1685.70815,1951.93945,
energy.Hydropower Energy Capacity,,,,,,,,,,,,,,,,,,,,,697.1837,709.0768,720.22594,740.4212,761.328,784.0963,805.47506,832.41106,861.7954,891.6133,925.737,953.9698,984.67844,1029.5624,1066.1928,1098.4295,1129.0008,1151.1094,1173.3864,1191.478,1212.8989,1235.01,1255.5404,
