Entity,Code,Year,Coal production - TWh,Oil production - TWh,Gas production - TWh
Africa,,1981,909.9033,2773.1401,264.74802
Africa,,1982,998.7121,2666.0615,325.11288
Africa,,1983,1011.8728,2702.3516,436.95682
Africa,,1984,1128.4529,2885.7793,458.6507
Africa,,1985,1198.9106,3000.331,505.6782
Africa,,1986,1229.4912,2991.7114,530.1431
Africa,,1987,1230.7749,2997.6375,578.9782
Africa,,1988,1264.9314,3124.9636,617.5322
Africa,,1989,1228.4504,3449.0317,677.40796
Africa,,1990,1221.226,3696.3718,721.5906
Africa,,1991,1245.4105,3834.5972,773.4518
Africa,,1992,1273.735,3907.2976,808.2828
Africa,,1993,1297.0951,3856.3596,833.4067
Africa,,1994,1348.1088,3848.5925,789.64624
Africa,,1995,1416.6951,3910.9531,872.7052
Africa,,1996,1412.3508,4037.5745,933.32495
Africa,,1997,1502.2734,4131.454,1041.611
Africa,,1998,1522.4474,4145.346,1109.3163
Africa,,1999,1519.8276,4028.1492,1216.7257
Africa,,2000,1518.354,4319.322,1351.0125
Africa,,2001,1514.5371,4275.9756,1388.4131
Africa,,2002,1489.1827,4304.742,1449.3188
Africa,,2003,1600.2198,4681.981,1556.1813
Africa,,2004,1635.6151,5210.7056,1635.7334
Africa,,2005,1646.2347,5401.9175,1700.5917
Africa,,2006,1635.0265,5527.921,1841.4415
Africa,,2007,1634.3881,5642.1987,1956.7667
Africa,,2008,1660.65,5699.41,2028.5222
Africa,,2009,1646.6626,5482.711,1912.9753
Africa,,2010,1707.9067,5662.934,2014.6624
Africa,,2011,1698.5222,4720.584,2005.5299
Africa,,2012,1766.9138,5144.378,2066.7578
Africa,,2013,1772.021,4766.631,1990.4619
Africa,,2014,1831.761,4545.1406,1996.0984
Africa,,2015,1759.014,4494.0737,2080.859
Africa,,2016,1756.2823,4195.351,2118.8303
Africa,,2017,1796.1306,4483.19,2295.4194
Africa,,2018,1839.6389,4565.866,2417.8552
Africa,,2019,1796.6693,4620.1675,2430.3662
Africa,,2020,1726.6394,3851.172,2314.2563
Africa,,2021,1646.8892,4016.3862,2589.8284
Africa,,2022,1666.5424,3864.885,2489.5928
Africa,,1965,,1235.101,
Africa,,1966,,1571.827,
Africa,,1967,,1729.1371,
Africa,,1968,,2216.126,
Africa,,1969,,2818.2942,
Africa,,1970,,3399.6292,30.07551
Africa,,1971,,3181.0298,37.022903
Africa,,1972,,3194.1733,65.13485
Africa,,1973,,3346.9216,98.32215
Africa,,1974,,3085.5674,102.604996
Africa,,1975,,2831.0928,115.33115
Africa,,1976,,3377.11,137.28214
Africa,,1977,,3541.0356,139.97684
Africa,,1978,,3456.5452,186.69028
Africa,,1979,,3800.2236,283.32993
Africa,,1980,,3492.4873,248.30338
Africa (EI),,1981,909.9034,2773.1401,264.74802
Africa (EI),,1982,998.71216,2666.0615,325.11288
Africa (EI),,1983,1011.8728,2702.3516,436.95685
Africa (EI),,1984,1128.4529,2885.7793,458.65067
Africa (EI),,1985,1198.9108,3000.331,505.6782
Africa (EI),,1986,1229.4912,2991.7114,530.1431
Africa (EI),,1987,1230.7748,2997.6375,578.9782
Africa (EI),,1988,1264.9315,3124.9639,617.5322
Africa (EI),,1989,1228.4503,3449.0317,677.40796
Africa (EI),,1990,1221.226,3696.372,721.5906
Africa (EI),,1991,1245.4105,3834.5972,773.4517
Africa (EI),,1992,1273.735,3907.2974,808.2827
Africa (EI),,1993,1297.0951,3856.3594,833.4067
Africa (EI),,1994,1348.1088,3848.5923,789.64624
Africa (EI),,1995,1416.6951,3910.9531,872.70514
Africa (EI),,1996,1412.351,4037.5745,933.325
Africa (EI),,1997,1502.2733,4131.454,1041.611
Africa (EI),,1998,1522.4474,4145.346,1109.3163
Africa (EI),,1999,1519.8278,4028.149,1216.7257
Africa (EI),,2000,1518.354,4319.322,1351.0123
Africa (EI),,2001,1514.5371,4275.9756,1388.4131
Africa (EI),,2002,1489.1829,4304.742,1449.3188
Africa (EI),,2003,1600.2198,4681.981,1556.1812
Africa (EI),,2004,1635.6152,5210.7056,1635.7334
Africa (EI),,2005,1646.2347,5401.9175,1700.5917
Africa (EI),,2006,1635.0265,5527.9204,1841.4417
Africa (EI),,2007,1634.3881,5642.199,1956.7667
Africa (EI),,2008,1660.65,5699.4097,2028.5223
Africa (EI),,2009,1646.6625,5482.711,1912.9753
Africa (EI),,2010,1707.9067,5662.934,2014.6624
Africa (EI),,2011,1698.5222,4720.584,2005.5299
Africa (EI),,2012,1766.9138,5144.3784,2066.7578
Africa (EI),,2013,1772.0209,4766.631,1990.4618
Africa (EI),,2014,1831.7609,4545.1406,1996.0984
Africa (EI),,2015,1759.014,4494.0737,2080.8591
Africa (EI),,2016,1756.2823,4195.3506,2118.8306
Africa (EI),,2017,1796.1306,4483.19,2295.4194
Africa (EI),,2018,1839.6389,4565.866,2417.8552
Africa (EI),,2019,1796.6693,4620.1675,2430.3665
Africa (EI),,2020,1726.6395,3851.1724,2314.2563
Africa (EI),,2021,1646.8893,4016.3862,2589.8284
Africa (EI),,2022,1666.5424,3864.885,2489.5928
Africa (EI),,1965,,1235.101,
Africa (EI),,1966,,1571.8269,
Africa (EI),,1967,,1729.137,
Africa (EI),,1968,,2216.126,
Africa (EI),,1969,,2818.2944,
Africa (EI),,1970,,3399.6292,30.07551
Africa (EI),,1971,,3181.0298,37.022903
Africa (EI),,1972,,3194.1733,65.13484
Africa (EI),,1973,,3346.9216,98.32215
Africa (EI),,1974,,3085.5674,102.604996
Africa (EI),,1975,,2831.0925,115.33115
Africa (EI),,1976,,3377.1104,137.28214
Africa (EI),,1977,,3541.0354,139.97685
Africa (EI),,1978,,3456.5452,186.69028
Africa (EI),,1979,,3800.2239,283.32996
Africa (EI),,1980,,3492.487,248.30338
Algeria,DZA,1965,,304.0002,
Algeria,DZA,1966,,391.262,
Algeria,DZA,1967,,449.44415,
Algeria,DZA,1968,,493.38818,
Algeria,DZA,1969,,516.78827,
Algeria,DZA,1970,,561.8859,24.380125
Algeria,DZA,1971,,427.9568,25.69875
Algeria,DZA,1972,,578.319,32.561375
Algeria,DZA,1973,,601.25507,43.216248
Algeria,DZA,1974,,556.3107,49.96337
Algeria,DZA,1975,,544.32935,61.523
Algeria,DZA,1976,,607.42487,77.49087
Algeria,DZA,1977,,648.445,74.165436
Algeria,DZA,1978,,662.15814,115.018745
Algeria,DZA,1979,,675.54517,188.5345
Algeria,DZA,1980,,599.4387,154.09749
Algeria,DZA,1981,,534.1274,178.64842
