Year,"Investments in Fossil
Energy Capital",Investments in Fossil Fuel Extraction Capital,"Investments in Renewable
Energy Capacity"
1995,0.00204557421879871,0.00298301862536294,1.000000000001E-05
2000,0.00465089444935614,0.00408776272843871,1.000000000001E-05
2005,0.00515969552884819,0.0039443702422868,1.000000000001E-05
2010,0.00581526112356973,0.00406492307538707,0.000213070180015755
2015,0.00643394175820864,0.00493948743294893,0.000463494627347274
2020,0.0072256463137191,0.00539322124676189,0.000832711532202453
2025,0.00778439258924304,0.0056482602375877,0.00147088706110779
2030,0.00804765684463162,0.0056394372755208,0.00273569574650253
2035,0.00797097365147224,0.0054099244049417,0.00567393427332201
2040,0.00495934064983012,0.00151136197386189,0.0143751322696292
2045,1.000000000001E-05,1.000000000001E-05,0.0314024045117789
2050,1.000000000001E-05,1.000000000001E-05,0.0360198934521694
2055,1.000000000001E-05,1.000000000001E-05,0.0349118189225311
2060,1.000000000001E-05,1.000000000001E-05,0.0357829902141386
2065,1.000000000001E-05,1.000000000001E-05,0.0398631595987415
2070,1.000000000001E-05,1.000000000001E-05,0.0457374553102187
2075,1.000000000001E-05,1.000000000001E-05,0.0497875575517385
2080,1.000000000001E-05,1.000000000001E-05,0.0522777101823403
2085,1.000000000001E-05,1.000000000001E-05,0.0549380059210046
2090,1.000000000001E-05,1.000000000001E-05,0.0585844929227325
2095,1.000000000001E-05,1.000000000001E-05,0.0630177163315423
2100,1.000000000001E-05,1.000000000001E-05,0.0672903814337856
2105,1.000000000001E-05,1.000000000001E-05,0.0713766294407305
2110,1.000000000001E-05,1.000000000001E-05,0.0756332409497974
2115,1.000000000001E-05,1.000000000001E-05,0.0803922282390738
2120,1.000000000001E-05,1.000000000001E-05,0.0856371550315983
2125,1.000000000001E-05,1.000000000001E-05,0.0912997846367929
2130,1.000000000001E-05,1.000000000001E-05,0.0972574001202637
2135,1.000000000001E-05,1.000000000001E-05,0.103142772237513
2140,1.000000000001E-05,1.000000000001E-05,0.109516101973662
2145,1.000000000001E-05,1.000000000001E-05,0.115647831697945
2150,1.000000000001E-05,1.000000000001E-05,0.125828843314381
2155,1.000000000001E-05,1.87557433467358E-05,0.136496547597136
2160,1.000000000001E-05,0.000025,0.141718465841008
2165,0.000942495407207178,0.00116019287511566,0.147866945876421
2170,0.00231079034522336,0.00256530387742764,0.128110092314566
2175,0.00369653719555581,0.00492349467128743,0.195489713772343
2180,0.0064510051205883,0.00981781499502153,0.226426555543247
2185,0.0131201860315776,0.0204256903909435,0.238422554912386
2190,0.0283859777465324,0.0464771291759586,0.279614065101998
2195,0.0972846997155985,0.12284313937868,0.127061510242368
2200,1.000000000001E-05,1.000000000001E-05,1.000000000001E-05
