Year,energy.GDP per person,energy.Surface Temperature Anomaly,energy.Population
2047,25.048484346,1.95388550871,9520.56315165
2048,25.1697661306,1.97152189623,9558.90603377
2049,25.2795619787,1.9883656219,9595.53131316
2050,25.3795954834,2.00464149885,9630.38129829
2051,25.4703135947,2.02001307002,9663.51878265
2052,25.5530458884,2.03473003799,9694.9996481
2053,25.6283808483,2.04898691712,9724.87684831
2054,25.6973491368,2.06299784043,9753.23137659
2055,25.7612678615,2.076817507,9780.04727375
2056,25.8200048677,2.09040018684,9805.4897356
2057,25.8738983739,2.10384002245,9829.49726723
2058,25.9228802788,2.11681535212,9852.12679465
2059,25.9650421337,2.12982573106,9873.58122068
2060,26.0027291476,2.14317354386,9893.66473814
2061,26.0405335717,2.15579671673,9912.32742275
2062,26.0749880314,2.16776840554,9929.23459145
2063,26.1076438541,2.1794508837,9944.01948494
2064,26.1375718606,2.19068832862,9957.27358609
2065,26.1644141281,2.20170764475,9969.27065202
2066,26.1886692718,2.21259856239,9979.90615406
2067,26.2105564606,2.22339888279,9989.19746485
2068,26.2309747822,2.23414167129,9996.89712418
2069,26.2500827668,2.2447132097,10003.0235504
2070,26.2675353427,2.25498681851,10007.7549588
2071,26.2831573625,2.26477198997,10011.1605213
2072,26.2966664438,2.27443257398,10013.3798691
2073,26.3083232094,2.28396039212,10014.412618
2074,26.3179571867,2.29321380766,10014.3591796
2075,26.3252213408,2.30219289561,10013.339703
2076,26.3300387131,2.31116219008,10011.3560511
2077,26.3325959929,2.3201618336,10008.4010717
2078,26.3331756343,2.32921058515,10004.4531216
2079,26.3322141407,2.33830755553,9999.35019674
2080,26.3288616181,2.34759162257,9993.34071258
2081,26.3214494479,2.3567892072,9986.9280737
2082,26.3111816035,2.36584925048,9979.53732095
2083,26.297916889,2.37459380097,9971.19560002
2084,26.2814244468,2.38325659156,9961.95030272
2085,26.2611833565,2.39172721201,9951.86740959
2086,26.2366209052,2.39988904148,9941.01351779
2087,26.2071945092,2.40762641651,9929.45699776
2088,26.1724535804,2.41514781996,9917.25129584
2089,26.1320810973,2.42258420319,9904.42540486
2090,26.0857856354,2.42976767501,9891.00637067
2091,26.0332938983,2.43706800006,9877.01463358
2092,25.9743238655,2.44452551685,9862.48008935
2093,25.9086058856,2.45171395983,9847.46124129
2094,25.8360220674,2.45862867519,9832.00138085
2095,25.7565489143,2.46568838446,9816.12477335
2096,25.6702935552,2.47231242741,9799.85112012
2097,25.5776897538,2.47872939399,9783.19968497
2098,25.4794939056,2.48477683822,9766.19099952
2099,25.376462423,2.49069277547,9748.8335566
2100,25.2692677713,2.49645228018,9731.12961389
