Year,energy.GDP per person,energy.Surface Temperature Anomaly,energy.Population
1980,6.38715429491,0.47048327647,4443.9582965
1981,6.40768149723,0.545712026444,4513.84061189
1982,6.48063642983,0.539363175493,4585.21309835
1983,6.59483474006,0.514886283521,4659.11868521
1984,6.72916881897,0.538402259295,4735.61701889
1985,6.87324681858,0.572398046536,4814.09256134
1986,7.02615475115,0.594119962757,4894.3136646
1987,7.18654281289,0.613775510983,4976.05858927
1988,7.35874977764,0.638488851467,5059.04126442
1989,7.54275171602,0.665639498962,5143.1226327
1990,7.7359337341,0.668745648208,5228.28823582
1991,7.93896585493,0.587379944791,5315.1963248
1992,8.15228639362,0.48249047801,5404.79473623
1993,8.37744312434,0.517348412102,5495.82068621
1994,8.61320130424,0.591370809784,5586.56383684
1995,8.85739959044,0.65621749909,5676.67861618
1996,9.11011702674,0.702240119495,5766.27465016
1997,9.37207865793,0.724350294642,5855.65783195
1998,9.64459495347,0.751332928935,5944.96084189
1999,9.93155458446,0.792852824347,6034.15291102
2000,10.2274858032,0.832631273986,6123.31691241
2001,10.5214211782,0.86173468817,6212.39625395
2002,10.8270713044,0.876507142208,6301.29604935
2003,11.1449976272,0.879013982949,6389.93166574
2004,11.4755512876,0.881706210649,6478.14510978
2005,11.8184098534,0.879047262763,6566.04078758
2006,12.1712694973,0.876349569551,6653.81586812
2007,12.5324678674,0.882584499434,6741.48731776
2008,12.90220681,0.900565251503,6828.88524418
2009,13.2802346663,0.925297886166,6915.78142535
2010,13.6652900187,0.955279349373,7002.04680164
2011,14.057157865,0.985721382288,7087.65722219
2012,14.4547812275,1.0187239293,7172.67600627
2013,14.8555487843,1.06128572908,7257.07497596
2014,15.2581619093,1.09981800061,7340.84448526
2015,15.6601875612,1.13522514046,7424.13402713
2016,16.0613186597,1.16715171229,7507.05449411
2017,16.4598961972,1.19630827835,7589.63316922
2018,16.855943025,1.22342156562,7671.8361235
2019,17.2524839822,1.24901497524,7753.55201186
2020,17.648150211,1.27375320094,7834.70554196
2021,18.040608306,1.2986772546,7915.41652673
2022,18.4243530668,1.32318434329,7995.75420402
2023,18.794150924,1.34724197574,8075.48228827
2024,19.1557519355,1.3713246614,8154.39122419
2025,19.512608458,1.39682377502,8232.32444598
2026,19.8628722149,1.42311895923,8309.09742597
2027,20.2063908504,1.44984044277,8384.53513297
2028,20.5407419439,1.47671683842,8458.47701938
2029,20.8653316305,1.50374333459,8530.7991962
2030,21.1808849359,1.53121004179,8601.38745266
2031,21.487593012,1.55952653683,8670.15823935
2032,21.7864634262,1.58890324427,8737.03810535
2033,22.0768092373,1.61906736331,8801.91848197
2034,22.3590627119,1.64906095373,8864.80563502
2035,22.6332585665,1.67860314086,8925.69892705
2036,22.8994764942,1.706807514,8984.62009882
2037,23.1559324956,1.73398518849,9041.6639047
2038,23.4016220098,1.76009606263,9096.91988628
2039,23.634882074,1.78510124549,9150.5097599
2040,23.8566846092,1.80920385078,9202.49130994
2041,24.0726687843,1.83233475386,9252.92738281
2042,24.2720087689,1.85446470701,9301.89467558
2043,24.4519632094,1.87569972499,9349.23305879
2044,24.6176931676,1.89638504744,9394.78385162
2045,24.7720747848,1.91638545685,9438.56633193
2046,24.9153361145,1.93554550983,9480.49697909
