Year,"Investments in Fossil
Energy Capital",Investments in Fossil Fuel Extraction Capital,"Investments in Renewable
Energy Capacity"
1995,0.0020567890067578,0.00298301862536294,1.000000000001E-05
2000,0.0046717701600842,0.00408776272843871,1.000000000001E-05
2005,0.00519970003203003,0.0039443702422868,1.000000000001E-05
2010,0.00595645797433697,0.0052521809162492,1.000000000001E-05
2015,0.00664439107113641,0.00571408228562822,1.000000000001E-05
2020,0.00753527742052129,0.0064668835811049,1.000000000001E-05
2025,0.0082746728499651,0.00711682059767906,1.000000000001E-05
2030,0.00890155399669904,0.00770294980790801,1.000000000001E-05
2035,0.00967743833545968,0.00848334175379774,0.00001
2040,0.0104610390765078,0.00933519016447679,1.000000000001E-05
2045,0.0112837637000721,0.0103373415951503,1.000000000001E-05
2050,0.0120002444805427,0.0113486831503361,0.00001
2055,0.0128583792541413,0.0126514272871136,0.00001
2060,0.0136930604567362,0.0140883744802036,0.000137517686706598
2065,0.0145931753666904,0.0158058089031442,0.000314091973019013
2070,0.0155083245172293,0.0177526454372635,0.000523465709925264
2075,0.0165078235461146,0.0200896036597301,0.000806030156978965
2080,0.0174713351360691,0.0226748553615329,0.00122775813945973
2085,0.0184480901408799,0.0256550388306493,0.00190412304581723
2090,0.0193109847966029,0.0288798136139733,0.00307633777395776
2095,0.0199502315278577,0.0322477275647706,0.00526482910942197
2100,0.0199231523101561,0.0350317629523085,0.00968335007431586
2105,0.0181528753942151,0.035222151724628,0.0194977868188768
2110,0.00716708289848835,0.0257091488830624,0.0437660427345711
2115,1.000000000001E-05,0.000440568381861121,0.0836088339948323
2120,1.000000000001E-05,1.000000000001E-05,0.0865757065185487
2125,1.000000000001E-05,1.000000000001E-05,0.0828833540989267
2130,1.000000000001E-05,1.000000000001E-05,0.0863778990340945
2135,1.000000000001E-05,1.000000000001E-05,0.0974092902799044
2140,1.000000000001E-05,1.000000000001E-05,0.111475400465614
2145,1.000000000001E-05,1.000000000001E-05,0.118392904029242
2150,1.000000000001E-05,1.000000000001E-05,0.126229643400686
2155,1.000000000001E-05,1.000000000001E-05,0.135493455681701
2160,1.000000000001E-05,1.000000000001E-05,0.141904436273012
2165,1.000000000001E-05,1.000000000001E-05,0.152584307722008
2170,1.000000000001E-05,1.000000000001E-05,0.136176586112132
2175,1.000000000001E-05,1.000000000001E-05,0.206509343954985
2180,1.000000000001E-05,1.000000000001E-05,0.245084137332967
2185,1.000000000001E-05,1.000000000001E-05,0.273467712562538
2190,0.00031654102101892,0.00161916020574522,0.227145288279541
2195,0.0842429444555304,0.190537529018378,0.182183065321958
2200,1.000000000001E-05,1.000000000001E-05,1.000000000001E-05
