Year,"Investments in Fossil
Energy Capital",Investments in Fossil Fuel Extraction Capital,"Investments in Renewable
Energy Capacity"
1995,0.00204550365374554,0.00298301862536294,2.51201746539486E-05
2000,0.00458697757445499,0.00408776272843871,0.000323338329708251
2005,0.00499231112732482,0.0039443702422868,0.000718113454508354
2010,0.00540360477567959,0.0023330909781548,0.00141484252326865
2015,0.00575915666162335,0.00382917079642011,0.00270046123077501
2020,0.00569012229931552,0.00328389665847246,0.00590106047062019
2025,0.00194415632242673,1.000000000001E-05,0.0157504892642842
2030,1.000000000001E-05,1.000000000001E-05,0.026533060494497
2035,1.000000000001E-05,1.000000000001E-05,0.0280196898905486
2040,1.000000000001E-05,1.000000000001E-05,0.0279729429048322
2045,1.000000000001E-05,1.000000000001E-05,0.0298141727671322
2050,1.000000000001E-05,1.000000000001E-05,0.0335179336531522
2055,1.000000000001E-05,1.000000000001E-05,0.0378871294613516
2060,1.000000000001E-05,1.000000000001E-05,0.0406641412515858
2065,1.000000000001E-05,1.000000000001E-05,0.0428959369483655
2070,1.000000000001E-05,1.000000000001E-05,0.0454358706178687
2075,1.000000000001E-05,0.00001,0.0487749540089625
2080,1.000000000001E-05,1.000000000001E-05,0.0523400917199069
2085,1.000000000001E-05,1.000000000001E-05,0.0557535539174361
2090,1.000000000001E-05,1.000000000001E-05,0.0590712015600953
2095,1.000000000001E-05,1.000000000001E-05,0.0626692986997108
2100,1.000000000001E-05,1.000000000001E-05,0.066660847902417
2105,1.000000000001E-05,1.000000000001E-05,0.0709842013717999
2110,1.000000000001E-05,1.000000000001E-05,0.0754893273659793
2115,1.000000000001E-05,1.000000000001E-05,0.0802035168029823
2120,1.000000000001E-05,1.000000000001E-05,0.085236666022381
2125,1.000000000001E-05,1.000000000001E-05,0.090801482402348
2130,1.000000000001E-05,1.90468286850744E-05,0.0967913925513794
2135,1.000000000001E-05,0.000025,0.10274538494787
2140,1.06124992692922E-05,0.000025,0.109125257777316
2145,2.04052217833786E-05,0.000025,0.115189421005246
2150,1.8828748321346E-05,0.000025,0.125340089973484
2155,1.74033984050138E-05,0.000025,0.136031372785656
2160,1.79491533866169E-05,0.000025,0.141278432917215
2165,0.000859655635902304,0.0011013330270284,0.147707080815875
2170,0.0019455389032669,0.00228543271484778,0.128572147241788
2175,0.00322714310860545,0.00455699551467737,0.196162545228884
2180,0.0058341116646219,0.00938173117018483,0.227457335722862
2185,0.0122776014320201,0.0201086766827108,0.239848010185084
2190,0.0279502761824915,0.0470792191262258,0.276616016857091
2195,0.0987331581453092,0.128001682486344,0.124391772095005
2200,1.000000000001E-05,1.000000000001E-05,1.000000000001E-05
