timestep,year,reExPerYear,cumReEx,investAgg,investFossil,investExtrac,investRenew,investLabeff,investEeneff,capitalAgg,capitalFossil,capitalExtract,capCoefRenew,costReEx,cumCapRenew,energy,enFossil,enRenew,prEnFossil,Vintage,learnReEx,CapCoefRenew
6,1995,6.402,0,0.0524912,0.00197013,0.00298302,0.000512112,0.00621696,0.000600423,0.492,0.06,0.05,700,1,1082.02,0.278007,0.231,0.0080073,0.32,684.181,128.04,700
7,2000,6.672,32.01,0.057336,0.00446304,0.00408776,0.00104631,0.00736576,0.000715699,0.61539,0.0554439,0.0521369,673.083,1.00052,1295.4,0.273525,0.225739,0.0087862,0.333496,213.38,128.04,673.083
8,2005,7.5,65.37,0.0661759,0.00470078,0.00394437,0.00216165,0.00856148,0.000845934,0.73292,0.0629242,0.0586884,633.13,1.00216,1741.36,0.31128,0.255135,0.0111449,0.374883,445.965,128.093,633.13
9,2010,8.06,102.87,0.0785508,0.00382669,0.00001,0.00535214,0.0098691,0.000996634,0.86356,0.0698016,0.0631564,581.952,1.00535,2695.2,0.346977,0.279055,0.0169218,0.402874,953.841,128.303,581.952
10,2015,6.11169,143.17,0.0878948,0.00001,0.00001,0.0140789,0.0110052,0.00108406,1.02005,0.0712907,0.0492305,520.283,1.01037,5168.57,0.329937,0.242647,0.0332899,0.305489,2473.37,128.611,520.283
11,2020,4.86031,173.728,0.0940348,0.00001,0.00001,0.0245627,0.0121249,0.00110916,1.18326,0.0555655,0.038385,457.973,1.01526,12068.1,0.330667,0.191494,0.0821728,0.24294,6899.53,128.553,457.973
12,2025,3.44716,198.03,0.106894,0.00001,0.00001,0.0280947,0.0135667,0.00115217,1.33753,0.0433187,0.0299385,411.505,1.01983,24888.2,0.3677,0.140526,0.173174,0.172304,12820.1,128.219,411.505
13,2030,1.98567,215.266,0.122592,0.00001,0.00001,0.0276648,0.0153843,0.00122021,1.51457,0.0337809,0.0233604,381.934,1.02343,40299.4,0.412679,0.0876727,0.274006,0.0992527,15411.2,127.516,381.934
14,2035,0.979426,225.194,0.139912,0.00001,0.00001,0.0273964,0.0174493,0.00130002,1.72189,0.0263528,0.0182373,362.44,1.02564,55983.6,0.458919,0.0459234,0.362996,0.048956,15684.2,126.32,362.44
15,2040,0.490727,230.091,0.156573,0.00001,0.00001,0.0299704,0.0197302,0.00138545,1.95998,0.0205678,0.0142475,348.157,1.02677,71866.7,0.507491,0.023528,0.434963,0.0245287,15883.1,124.629,348.157
16,2045,0.260983,232.545,0.174137,0.00001,0.00001,0.0340474,0.0221867,0.00147296,2.21911,0.0160625,0.0111402,336.117,1.02735,89534.6,0.555747,0.0126076,0.49564,0.0130451,17667.9,122.576,336.117
17,2050,0.133359,233.85,0.193139,0.00001,0.00001,0.0367216,0.0249414,0.0015651,2.49863,0.0125537,0.00872023,325.375,1.02765,109895,0.603717,0.00646365,0.551254,0.00666586,20360.4,120.269,325.375
18,2055,0.0631423,234.517,0.214996,0.00001,0.00001,0.0386351,0.0279757,0.0016615,2.80038,0.00982108,0.00683556,316.065,1.02781,132140,0.653114,0.00306454,0.604049,0.00315613,22245.4,117.758,316.065
19,2060,0.0273175,234.832,0.238523,0.00001,0.00001,0.0404729,0.0313632,0.00176319,3.13208,0.00769291,0.00536778,308.015,1.02789,155812,0.704955,0.00132643,0.657628,0.00136545,23671.5,115.079,308.015
20,2065,0.00903953,234.969,0.264548,0.00001,0.00001,0.0431613,0.0350791,0.00186907,3.49448,0.00603548,0.00422467,300.952,1.02792,180857,0.759139,0.000438982,0.7127,0.000451835,25044.6,112.268,300.952
21,2070,0.00205916,235.014,0.292485,0.00001,0.00001,0.0463541,0.0392067,0.00198019,3.89186,0.00474468,0.00333442,294.564,1.02793,207800,0.815716,0.0001,0.769616,0.000102926,26943.8,109.343,294.564
22,2075,0.00205917,235.024,0.324164,0.00001,0.00001,0.0495886,0.0437512,0.00209611,4.32493,0.0037394,0.00264109,288.692,1.02793,236970,0.874589,0.0001,0.828489,0.000102926,29169.5,106.336,288.692
23,2080,0.00205917,235.035,0.35814,0.00001,0.00001,0.0525864,0.0488705,0.00221917,4.80236,0.00295649,0.00210112,283.274,1.02793,268407,0.936729,0.0001,0.890629,0.000102926,31437.3,103.352,283.274
24,2085,0.00205917,235.045,0.39594,0.00001,0.00001,0.0556984,0.0545835,0.00234914,5.32448,0.00234675,0.00168059,278.278,1.02794,301976,1.00198,0.0001,0.955883,0.000102927,33568.3,100.393,278.278
25,2090,0.00205918,235.055,0.436795,0.00001,0.00001,0.0591124,0.0610143,0.00248707,5.89835,0.00187189,0.00135309,273.646,1.02794,337759,1.07082,0.0001,1.02472,0.000102927,35783.1,97.4639,273.646
26,2095,0.0020592,235.066,0.482215,0.00001,0.00001,0.0629159,0.0682132,0.00263281,6.52601,0.00150207,0.00109803,269.318,1.02794,375962,1.14314,0.0001,1.09704,0.000102928,38203.8,94.5665,269.318
27,2100,0.00205922,235.076,0.532097,0.00001,0.00001,0.0669301,0.0763315,0.00278742,7.21577,0.00121405,0.000899383,265.243,1.02794,416853,1.21955,0.0001,1.17345,0.000102929,40890.7,91.7038,265.243
28,2105,0.00205925,235.086,0.587521,0.00001,0.00001,0.0711335,0.0854972,0.00295151,7.97364,0.000989747,0.00074468,261.393,1.02795,460584,1.30046,0.0001,1.25436,0.00010293,43731.2,88.8785,261.393
29,2110,0.0020593,235.097,0.64888,0.00001,0.00001,0.075561,0.0958939,0.00312603,8.80906,0.000815055,0.000624197,257.745,1.02795,507297,1.38657,0.0001,1.34047,0.000102933,46712.7,86.0933,257.745
30,2115,0.00205938,235.107,0.716722,0.00001,0.0000196545,0.0803068,0.107736,0.00331174,9.73114,0.000679006,0.000530365,254.279,1.02795,557156,1.47828,0.0001,1.43218,0.000102937,49859.1,83.3504,254.279
31,2120,0.00205949,235.117,0.791725,0.00001,0.000025,0.0854136,0.121279,0.00350937,10.7494,0.00057305,0.0005,250.975,1.02795,610390,1.57603,0.0001,1.52993,0.000102942,53234.1,80.652,250.975
32,2125,0.00205963,235.127,0.874556,0.00001,0.000025,0.0910112,0.136835,0.00371958,11.8742,0.000490532,0.0005,247.814,1.02796,667259,1.68025,0.0001,1.63415,0.000102949,56868.5,78.0002,247.814
33,2130,0.00205981,235.138,0.966099,0.00001,0.000025,0.0970131,0.154788,0.00394418,13.1167,0.000426266,0.0005,244.778,1.02796,728110,1.79227,0.0001,1.74617,0.000102958,60851.5,75.3968,244.778
34,2135,0.00206003,235.148,1.06764,0.00001,0.000025,0.102965,0.175618,0.00418553,14.4893,0.000376216,0.0005,241.855,1.02796,793239,1.91285,0.0001,1.86675,0.000102969,65128.9,72.8435,241.855
35,2140,0.00206028,235.158,1.17994,0.00001,0.000025,0.109366,0.199887,0.00444303,16.0075,0.000337237,0.0005,239.049,1.02796,862636,2.04023,0.0001,1.99413,0.000102982,69396.9,70.3419,239.049
36,2145,0.00206055,235.169,1.30517,0.00001,0.000025,0.115448,0.228296,0.00471609,17.6867,0.000306881,0.0005,236.347,1.02797,936627,2.17525,0.0001,2.12915,0.000102995,73990.8,67.8932,236.347
37,2150,0.00206084,235.179,1.44164,0.00001,0.000025,0.125628,0.261629,0.00499713,19.5485,0.000283239,0.0005,233.755,1.02797,1015020,2.3144,0.0001,2.2683,0.00010301,78392.6,65.4985,233.755
38,2155,0.00206112,235.189,1.59338,0.00001,0.000025,0.136375,0.301082,0.0053033,21.6021,0.000264826,0.0005,231.194,1.02797,1100630,2.47804,0.0001,2.43194,0.000103024,85606.1,63.159,231.194
39,2160,0.0020614,235.2,1.7675,0.00001,0.000025,0.141604,0.348101,0.00565283,23.8728,0.000250487,0.0005,228.67,1.02797,1193880,2.6661,0.0001,2.62,0.000103038,93255.2,60.8753,228.67
40,2165,0.00206165,235.21,1.96273,0.00001,0.000025,0.150601,0.403893,0.00602113,26.4116,0.000239319,0.0005,226.284,1.02798,1291050,2.84584,0.0001,2.79974,0.00010305,97165.8,58.6481,226.284
41,2170,0.00206187,235.22,2.22072,0.00001,0.000025,0.133226,0.469821,0.00639732,29.2525,0.000230622,0.0005,223.971,1.02798,1394730,3.03746,0.0001,2.99136,0.000103061,103679,56.478,223.971
42,2175,0.00206207,235.23,2.48535,0.00001,0.000025,0.204822,0.543318,0.00653547,32.6062,0.000223848,0.0005,222.078,1.02798,1486740,3.09401,0.0001,3.04791,0.000103071,92010.4,54.3651,222.078
43,2180,0.00206223,235.241,2.9174,0.00001,0.000025,0.243802,0.624989,0.00675679,36.3889,0.000218573,0.0005,219.457,1.02798,1628560,3.50706,0.0001,3.46096,0.000103079,141828,52.3098,219.457
44,2185,0.00206237,235.251,3.66443,0.00001,0.000025,0.272555,0.702396,0.00699758,41.2462,0.000214465,0.0005,216.681,1.02799,1798000,4.06785,0.0001,4.02175,0.000103086,169435,50.3121,216.681
45,2190,0.00206249,235.261,5.16495,0.00001,0.000025,0.231051,0.742163,0.00693421,48.334,0.000211265,0.0005,213.928,1.02799,1988150,4.71019,0.0001,4.66409,0.000103092,190151,48.3718,213.928
46,2195,0.00206258,235.272,7.65662,0.105028,0.200814,0.182132,0.687396,0.00584554,60.4922,0.000208773,0.0005,211.811,1.02799,2149970,5.0461,0.0001,5,0.000103097,161817,46.4887,211.811
47,2200,38.6146,235.282,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,80.9842,0.464805,0.888789,210.259,1.02799,2277900,6.59684,1.55084,5,1.93013,127936,44.6626,210.259
