Year,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes
2012,0.3592646000866799,1496.4725890114814,0.021188185,0.143373245
2013,0.3587904691891815,1483.316635346603,0.026933096,0.167242585
2014,0.3581280099599334,1470.044697359597,0.036695087,0.148209545
2015,0.3572155074946073,1461.5253106495252,0.044280947,0.117789165
2016,0.3562818377079126,1460.4421198861492,-0.017718142,0.136687865
2017,0.3553259976623947,1444.710495895543,-0.039942385,0.162057805
2018,0.3542753759263312,1433.5381605756331,-0.043658658,0.143347865
2019,0.352630883897,1418.886,-0.044559432,0.072266565
2020,0.350342991647,1414.1215000000002,-0.035945807,0.038088805
2021,0.348039773457,1400.5053,-0.014598998,0.096202805
2022,0.345645143407,1388.3156,0.048434208,0.085513605
2023,0.3423735809844309,1375.0076974521637,0.108236511,0.074824404
2024,0.3388626678655803,1361.5904495684167,0.122853708,0.064135204
2025,0.3351330453166926,1348.064725613059,0.120949022,0.053446003
2026,0.331202769415074,1334.434623854986,0.050331624,0.042756802
2027,0.3270883296777427,1320.7052919806158,-0.001205532,0.032067602
2028,0.3228048778042343,1306.8821796831426,-0.01071885,0.021378401
2029,0.3183663467393074,1292.9707523204434,-0.037584089,0.010689201
2030,0.3137855489583965,1278.976362641279,-0.046433896,0.0
2031,0.3090742657972665,1264.904183613019,-0.059345069,0.0
2032,0.3043326063973311,1250.645034211388,-0.055303151,0.0
2033,0.2995649307300838,1236.4013295706586,-0.038003809,0.0
2034,0.2947752224607454,1222.2343180299424,-0.009404131,0.0
2035,0.2899669604253272,1208.1616061490242,0.008984386,0.0
2036,0.2851432406082159,1194.1872370486117,0.0107291,0.0
2037,0.280306851555667,1180.311012257244,0.017494271,0.0
2038,0.2754603169732353,1166.5313958472484,0.023141811,0.0
2039,0.2706059241933242,1152.846425345191,-0.030346913,0.0
2040,0.2657457465328605,1139.254000990128,-0.052429574,0.0
2041,0.2608816625001908,1125.7519803631765,-0.056973651,0.0
2042,0.2561912108509396,1112.4870880645317,-0.059563135,0.0
2043,0.251655972176984,1099.4824628265346,-0.052805517,0.0
2044,0.2472644735707254,1086.7356926025438,-0.040681693,0.0
2045,0.2430068329377956,1074.2370883854885,-0.003581266,0.0
2046,0.2388740192109171,1061.9752756321348,0.014279354,0.0
2047,0.2348577097471648,1049.9388850842963,0.013200477,0.0
2048,0.2309502258294119,1038.1170404697648,0.021695033,0.0
2049,0.2271444808028203,1026.499475441407,0.013456882,0.0
2050,0.2234339329411966,1015.0765376276738,-0.011520725,0.0
2051,0.21981254204745,1003.839159889224,-0.014439744,0.0
2052,0.2163154723016489,992.1936174049092,-0.036947058,0.0
2053,0.2129285464774861,980.585573252782,-0.043761494,0.0
2054,0.2096443604052519,969.145152049783,-0.050309936,0.0
2055,0.2064564936477913,957.9054527912436,-0.046892211,0.0
2056,0.2033589659124685,946.8699106447044,-0.007044613,0.0
2057,0.2003462130105742,936.0331390149612,0.032483955,0.0
2058,0.1974130784715981,925.3873872805948,0.036685898,0.0
2059,0.1945547917881707,914.9245313901324,0.030373687,0.0
2060,0.1917669414046631,904.636672296491,0.014257475,0.0
2061,0.1890454472871914,894.5163000078649,-0.012749452,0.0
2062,0.1863977490549138,884.910403783291,-0.028505574,0.0
2063,0.1838172218989521,875.5917664189133,-0.029614626,0.0
2064,0.1812995414711641,866.4845326437098,-0.042736239,0.0
2065,0.1788411045144989,857.5599647610762,-0.047627917,0.0
2066,0.1764386797744623,848.8042643057308,-0.056494478,0.0
2067,0.1740893051252691,840.208576824907,-0.042231782,0.0
2068,0.1717902450363204,831.7658590468076,-0.024181133,0.0
2069,0.1695389659283464,823.4698801093153,0.007949405,0.0
2070,0.1673331179303199,815.3148905127083,0.014898675,0.0
2071,0.1651705195296373,807.2955018423546,0.023255717,0.0
2072,0.1630467128369418,798.823673992278,0.023100151,0.0
2073,0.1609638251857922,790.3095077476866,-0.004697114,0.0
2074,0.1589209778339124,781.876331299693,-0.001119023,0.0
2075,0.1569166701564091,773.5590336754888,-0.027021894,0.0
2076,0.1549493163070428,765.3652273521617,-0.040687064,0.0
2077,0.1530173820060968,757.2941910233975,-0.045593088,0.0
2078,0.1511194190131278,749.3427557506184,-0.051830031,0.0
2079,0.1492540704076606,741.5071348352635,-0.01917262,0.0
2080,0.1474200672695275,733.7834882999969,0.027187462,0.0
2081,0.1456162230202224,726.1680913989367,0.054600243,0.0
2082,0.1438575829880789,719.7555711319609,0.074245228,0.0
2083,0.1421318906070757,713.7925823595021,0.039418779,0.0
2084,0.1404356942870789,708.0432172311125,-0.006520545,0.0
2085,0.1387673783139692,702.4316437495303,-0.021471505,0.0
2086,0.1371258226816188,696.9318660962789,-0.041568051,0.0
2087,0.1355100877588742,691.5335496167934,-0.05501939,0.0
2088,0.1339193249935799,686.2313716982707,-0.054031532,0.0
2089,0.1323527472142702,681.0216838138657,-0.047975661,0.0
2090,0.1308096167366662,675.9014565409396,-0.03505906,0.0
2091,0.1292892392578711,670.8679409731708,0.010910268,0.0
2092,0.1277877876354314,666.0567199281292,0.016373315,0.0
2093,0.1263085125863612,661.3748308407589,0.022882756,0.0
2094,0.1248511720242423,656.7916579772315,0.038928835,0.0
2095,0.1234151699175621,652.2959397487721,0.018803652,0.0
2096,0.1219999164927592,647.8825031169388,-0.04014343,0.0
2097,0.1206048572374087,643.5481475332366,-0.055109958,0.0
2098,0.1192294694369867,639.290358768113,-0.056878937,0.0
2099,0.1178732581582039,635.1069023946983,-0.060717664,0.0
2100,0.1165357534750146,630.9956921908014,-0.042802891,0.0
2101,0.1152165083799237,626.954745042294,-0.010930168,0.0
2102,0.1138993652430414,621.477155888907,0.026898347,0.0
2103,0.1125967389551848,615.6036139132541,0.008119045,0.0
2104,0.1113111535751392,609.6554752349501,0.015471294,0.0
2105,0.1100429912797584,603.73153683352,0.009134879,0.0
2106,0.1087920890679733,597.8614479867641,-0.004018082,0.0
2107,0.1075581362167623,592.0533096384231,-0.033932612,0.0
2108,0.1063407872257253,586.3085100511055,-0.045150664,0.0
2109,0.1051396959098978,580.6263677837712,-0.054496877,0.0
2110,0.1039545255814657,575.0055893350516,-0.054335015,0.0
2111,0.1027849516900105,569.4447270475081,-0.047043772,0.0
2112,0.1016306620734225,563.9423220266973,-0.030473625,0.0
2113,0.1004913564787723,558.4969475302161,-0.000905701,0.0
2114,0.0993667458902881,553.1072208891617,0.004081315,0.0
2115,0.0982565518364173,547.7718055380793,0.011941659,0.0
2116,0.0971605057286884,542.489410010164,0.023432623,0.0
2117,0.0960783482462652,537.2587860769812,-0.011544617,0.0
2118,0.0950098287676381,532.0787267209963,-0.044828189,0.0
2119,0.0939547048470911,526.94806415299,-0.056928346,0.0
2120,0.0929127417325914,521.865667934428,-0.058953517,0.0
2121,0.0918837119216539,516.8304432166811,-0.059570059,0.0
2122,0.0908673947519226,511.8413290941371,-0.039721156,0.0
2123,0.0898635760234607,506.8972970640515,-0.003909391,0.0
2124,0.0888720476500018,501.99734958519593,0.020724643,0.0
2125,0.0878926073366607,497.1405187276011,0.007650045,0.0
2126,0.0869250582818266,492.3258649062313,0.015104817,0.0
2127,0.0859692089011659,487.5524756920186,0.007526266,0.0
2128,0.0850248725718501,482.8194646942454,-0.008981132,0.0
2129,0.0840918673952931,478.1259705087957,-0.039587846,0.0
2130,0.083170015976835,473.4711557272667,-0.046461122,0.0
2131,0.0822591452209522,468.8542060023726,-0.052731104,0.0
2132,0.0813590861406955,464.2743291654669,-0.043416357,0.0
2133,0.0804696736801794,459.7307543923637,-0.021558825,0.0
2134,0.0795907465490446,455.2227314139716,0.009541263,0.0
2135,0.0787221470679142,450.749529768542,0.016279007,0.0
2136,0.0778637210239503,446.3104380926069,0.023425633,0.0
2137,0.0770153175356941,441.904763447923,0.024566252,0.0
2138,0.0761767889264466,437.5318306819627,-0.009796026,0.0
2139,0.0753479906055099,433.1909818196911,-0.004809139,0.0
2140,0.0745287809566697,428.88157548455575,-0.033571193,0.0
2141,0.0737190212333514,424.6029863467806,-0.04520551,0.0
2142,0.0729185754599339,420.3546045972068,-0.052024675,0.0
2143,0.0721273103387457,416.1358354450661,-0.056733317,0.0
2144,0.0713450951623127,411.94609863819306,-0.047456269,0.0
2145,0.0705718017304605,407.784828004304,-0.034682252,0.0
2146,0.0698073042719089,403.65147101207,-0.035174504,0.0
2147,0.0690514793700284,399.545488350812,-0.039273569,0.0
2148,0.0683042058924524,395.4663535277326,-0.037946135,0.0
2149,0.0675653649242684,391.4135524816772,-0.03806369,0.0
2150,0.0668348397045327,387.3865832124941,-0.05014645,0.0
