Year,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes
1980,0.1996781036408246,1268.4820985835336,0.076827632,0.114392685
1981,0.2107891017110764,1315.1149173743866,0.082903467,0.064458005
1982,0.22178942746584,1358.3922935446349,0.026342154,-0.280036955
1983,0.2328528684443414,1401.703654493345,0.026578898,-0.771871795
1984,0.2439595214324693,1446.9489394685118,-0.02567994,-0.323265235
1985,0.2564062903695854,1495.2114467226515,-0.044507843,-0.027211475
1986,0.2700131902011521,1545.1441053866,-0.04373961,-0.028910855
1987,0.2842961091986912,1598.417095601011,-0.026484807,0.052186505
1988,0.2995830760889734,1655.9529623037936,0.012851632,0.108536705
1989,0.3130459682785337,1706.6959709650223,0.07685668,0.147800145
1990,0.3244706912842952,1752.66756428177,0.066400612,0.143038725
1991,0.3335262964566653,1786.469490641493,0.05271223,-0.644162535
1992,0.3412499611560945,1813.5658878250945,0.035751545,-1.979914735
1993,0.3456422918493638,1819.1671297073483,0.001471956,-0.879705515
1994,0.3490520941184601,1811.3229348792167,-0.026552295,-0.103578595
1995,0.3519895464704241,1792.7576574946042,-0.037402097,0.084952665
1996,0.3544072071009614,1771.5370089299404,-0.047152654,0.153739165
1997,0.3559030016109253,1750.1476300725462,-0.03151871,0.176741525
1998,0.3572345243473964,1746.8307225918916,0.012774175,0.179205685
1999,0.3583059664606789,1717.1773197945663,0.047493557,0.183315365
2000,0.3592521001557028,1697.988511981427,0.083449697,0.184264445
2001,0.3599657540591024,1664.4745980453552,0.061430778,0.178917845
2002,0.360382564702247,1641.2023363233773,0.075387148,0.185791425
2003,0.3604415338637338,1623.499311900271,0.011305027,0.169306065
2004,0.3602465057078562,1607.4198925330231,-0.01692784,0.180334925
2005,0.3602538949409957,1600.8493737448534,-0.043584673,0.153463345
2006,0.3601341433538403,1581.5190837312066,-0.04703501,0.135580065
2007,0.3602277332140967,1569.8509274051216,-0.055663159,0.122814945
2008,0.360403722012098,1552.914816438561,-0.052082951,0.139921265
2009,0.3602822442831363,1533.3872007158216,-0.052809107,0.110537245
2010,0.3601920887433898,1520.4672602401745,-0.0337681,0.145590425
2011,0.3598825337770674,1507.1554266346131,0.000473006,0.104636105
