Year,Natural Forcing.Volcanic Forcing,Natural Forcing.Solar Forcing
1750,0,0
1751,0.246417033,0.097800073
1752,0.246421215,0.079453784
1753,0.246422621,0.049375854
1754,0.101390992,0.013198096
1755,-0.126688923,-0.021216797
1756,0.09360053,-0.045694116
1757,0.193838871,-0.053276001
1758,0.228702844,-0.034134082
1759,0.24046825,0.017223047
1760,0.244422838,0.067722144
1761,0.245751346,0.092605078
1762,-0.207883667,0.086458447
1763,-0.922123369,0.064368018
1764,-0.232261794,0.031029565
1765,0.08171098,-0.005725415
1766,0.190916659,-0.035569336
1767,0.008554734,-0.049687866
1768,-0.323799751,-0.036505371
1769,0.013327683,0.019656738
1770,0.166235158,0.085803223
1771,0.21940141,0.117472412
1772,0.237342482,0.109921729
1773,0.243372807,0.086988867
1774,0.245398627,0.051045117
1775,0.246079123,0.010296387
1776,0.246307712,-0.025428955
1777,0.246384493,-0.04658335
1778,0.246410284,-0.042776807
1779,0.246418945,0.00185647
1780,0.246421853,0.073260352
1781,0.246422824,0.116037158
1782,0.246423157,0.115881152
1783,-0.675513921,0.09159104
1784,-2.125286993,0.054726855
1785,-0.725845379,0.011201221
1786,-0.088122651,-0.025491357
1787,0.133684339,-0.044789282
1788,0.208536661,-0.031091968
1789,0.233696036,0.037519409
1790,0.242148064,0.117659619
1791,0.244987221,0.14483584
1792,0.245940919,0.13073291
1793,0.246261277,0.112558228
1794,0.246368891,0.081778271
1795,0.158052165,0.045912524
1796,0.019119022,0.008018701
1797,0.153322347,-0.025850171
1798,0.214388426,-0.050889111
1799,0.23562785,-0.063119971
1800,0.242795446,-0.060592676
1801,0.245204613,-0.042386792
1802,0.246013948,-0.01251167
1803,0.246285815,0.015631787
1804,0.246377137,0.032792432
1805,0.246407815,0.035070117
1806,0.246418117,0.026520996
1807,0.246421574,0.012043652
1808,0.246422737,-0.008003101
1809,-1.153447371,-0.029656714
1810,-3.402014712,-0.049173047
1811,-1.25103841,-0.062589551
1812,-0.268842568,-0.067285327
1813,0.072782952,-0.062012329
1814,0.188070343,-0.04633374
1815,-2.452155732,-0.025428955
1816,-6.846557046,-0.006458643
1817,-2.813483102,0.005148193
1818,-0.807982755,0.006895459
1819,-0.108970292,-0.000452417
1820,0.12698785,-0.01385332
1821,0.206301156,-0.031169971
1822,0.131293493,-0.047768994
1823,-0.019684884,-0.059188623
1824,0.137752709,-0.061591113
1825,0.209043085,-0.049968677
1826,0.233827036,-0.020031152
1827,0.242190287,0.013354102
1828,0.245001325,0.037753418
1829,0.245945658,0.045163696
1830,0.246262872,0.036130957
1831,-1.180974106,0.016396216
1832,-3.496416428,-0.010155981
1833,-1.312505649,-0.035272925
1834,-0.289999758,-0.05084231
1835,-0.400931821,-0.048299414
1836,-1.01498102,-0.014945361
