Time,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Demographics.Population[1],4442.348279,4520.91735,4602.701335,4684.875627,4766.640881,4850.076923,4936.006502,5024.289346,5113.387878,5202.582534,5293.395467,5382.536929,5470.164577,5556.623321,5642.046034,5726.736488,5811.580202,5896.055962,5979.726559,6062.28885,6144.321462,6226.348086,6308.14097,6389.462496,6470.924346,6552.700448,6635.110367,6717.567584,6801.440971,6885.663352,6969.985525,7054.044372,7141.386257,7229.303088,7317.040295,7403.850164,7490.415449,7576.441961,7660.371127,7741.774583,7820.205606,7888.305693,7950.946801,8021.179605,8094.539255,8167.424601,8239.493198,8310.693535,8381.031076,8450.488958,8519.038564,8586.654246,8653.358521,8719.131751,8783.863719,8847.626316,8910.359883,8972.183579,9033.159298,9093.218586,9152.305069,9210.441794,9267.48489,9323.213865,9377.570691,9430.325838,9481.484627,9530.957309,9578.676069,9624.653862,9668.479171
Demographics.fertility[1],3.73471340112249,3.70806832634147,3.72304547930651,3.59433791505987,3.56834444590803,3.53121535486195,3.51731970692646,3.4876208531063,3.39613123788742,3.34634303687336,3.30544149103758,3.12441170494208,3.03803692875779,2.96937260917607,2.91550595694393,2.86143738332609,2.81355167107889,2.77137413396533,2.73605860630137,2.70908918800366,2.71846496860982,2.68064786910707,2.65374683882845,2.63003724874443,2.62139879008116,2.6031561062806,2.59527910017808,2.59427028491608,2.59359990782243,2.5797615054047,2.55458173874789,2.53406006630992,2.5496430991073,2.51424842619762,2.5065784810457,2.47790957201916,2.48115559973118,2.45927223821425,2.39740742486869,2.3606087181835,2.29966617574505,2.27316335245758,,,,2.25211640045299,,,,,2.2211793734937,,,,,2.19072702931284,,,,,2.16642861565288,,,,,2.13690938207881,,,,,2.10206661324743
