Variable,Value,Min,Max,Assumption,Calibrated Output,Climate Impact Parameter,Discrete Outflow,Explanatory Variable,External Parameter,Internal Calibration Parameter,No Sensi,Output,Parameter,Policy,Unit
"Simulation End",2150,2023,2200,,,,,,,,1,,,,
"Animal Products Demand.average daily demand per capita in 1980[1]",377.792520234519,350,400,,,,,,,1,,,,,
"Animal Products Demand.elasticity of demand to GDP[1]",0.204274861218766,0,1,,,,,,,1,,,,,
"Animal Products Demand.expectation time horizon",1,,,1,,,,,,,,,,,
"Animal Products Demand.growth rate of socioeconomic effect[1]",-4.60161691305202,-7.5,-2.5,,,,,,,1,,,,,
"Animal Products Demand.healthy reference daily consumption per capita",304,,,,,,,,1,,,,,,
"Animal Products Demand.inflection point of relative GDP",1,,,1,,,,,,,,,,,
"Animal Products Demand.initial share of demand from consumption domain[1]",0.182497678595454,0.15,0.3,,,,,,,1,,,,,
"Animal Products Demand.maximum effect of additional environmental consciousness[1]",0.5,0.25,0.75,1,,,,,,,,,,,
"Animal Products Demand.normal perceived social value",1,,,1,,,,,,,,,,,
"Animal Products Demand.normal sensitivity of personal norm to climate risk[1]",-0.10979608850742,-1,-0.01,,,,,,,1,,,,,
"Animal Products Demand.range of socioeconomic effect[1]",1,0.5,1.5,1,,,,,,,,,,,
"Animal Products Demand.reference GDP per person for socioeconomic effect[1]",40000,35000,45000,,,,,,1,,,,,,
"Animal Products Demand.reference weight of accessibility[1]",0.333333333333,,,1,,,,,,,,,,,
"Animal Products Demand.relative weight of personal norm[1]",0.5,,,1,,,,,,,,,,,
"Animal Products Demand.sensitivity of demand to relative scarcity[1]",0.548803288416038,0,1,,,,,,,1,,,,,
"Animal Products Demand.sensitivity of personal norm to consumption risk[1]",-0.773281842782769,-1,-0.1,,,,,,,1,,,,,
"Animal Products Demand.sensitivity of personal norm to social value[1]",0.912811344033403,0.1,1,,,,,,,1,,,,,
"Animal Products Demand.sensitivity of social value perception[1]",1.34996724960224,0.1,2,,,,,,,1,,,,,
"Animal Products Demand.time horizon for long term perception[1]",55.6196347221838,20,100,,,,,,,1,,,,,
"Animal Products Demand.time horizon for short term perception[1]",5.767969885191,1,20,,,,,,,1,,,,,
"Animal Products Demand.time to adjust consumption pattern[1]",4.51041839339388,1,10,,,,,,,1,,,,,
"Animal Products Demand.time to adjust desired demand from accessibility[1]",1.0258931993514,1,5,,,,,,,1,,,,,
"Animal Products Demand.time to adjust value perception[1]",4.91375264381427,3,50,,,,,,,1,,,,,
"Animal Products Demand.time to observe consequences[1]",25.010430204537,10,30,,,,,,,1,,,,,
"Animal Products Demand.time to perceive average consumption[1]",2.87411512233793,1,5,,,,,,,1,,,,,
"Animal Products Demand.UNIT c$ per billion c$",1000000000,,,,,,,,,,,,,,1
"Animal Products Demand.UNIT cal per pcal",1000000000000,,,,,,,,,,,,,,1
"Animal Products Demand.UNIT days per year",365,,,,,,,,,,,,,,1
"Animal Products Demand.UNIT p per Mp",1000000,,,,,,,,,,,,,,1
"Behavior Change Policy.APD climate attribution policy effect multiplier[1]",0.2,0.1,0.3,,,,,,,,,,,1,
"Behavior Change Policy.APD consumption risk policy effect multiplier[1]",0.3,0.2,0.4,,,,,,,,,,,1,
"Behavior Change Policy.APD cultural revaluation policy effect multiplier[1]",0.2,0.1,0.3,,,,,,,,,,,1,
"Behavior Change Policy.APD value shift policy effect multiplier[1]",0.3,0.2,0.4,,,,,,,,,,,1,
"Behavior Change Policy.climate attribution policy start year",2030,,,,,,,,,,,,,1,
"Behavior Change Policy.climate attribution policy switch",0,0,1,,,,,,,,,,,1,
"Behavior Change Policy.climate attribution policy time to fully take effect[1]",10,5,15,,,,,,,,,,,1,
"Behavior Change Policy.consumption risk policy start year",2030,,,,,,,,,,,,,1,
"Behavior Change Policy.consumption risk policy switch",0,0,1,,,,,,,,,,,1,
"Behavior Change Policy.consumption risk policy time to fully take effect[1]",10,5,15,,,,,,,,,,,1,
"Behavior Change Policy.CRP climate attribution policy effect multiplier[1]",0.2,0.1,0.3,,,,,,,,,,,1,
"Behavior Change Policy.cultural revaluation policy start year",2030,,,,,,,,,,,,,1,
"Behavior Change Policy.cultural revaluation policy switch",0,0,1,,,,,,,,,,,1,
"Behavior Change Policy.cultural revaluation policy time to fully take effect[1]",20,15,25,,,,,,,,,,,1,
"Behavior Change Policy.TFD climate attribution policy effect multiplier[1]",0.2,0.1,0.3,,,,,,,,,,,1,
"Behavior Change Policy.TFD consumption risk policy effect multiplier[1]",0.3,0.2,0.4,,,,,,,,,,,1,
"Behavior Change Policy.TFD cultural revaluation policy effect multiplier[1]",0.2,0.1,0.3,,,,,,,,,,,1,
"Behavior Change Policy.TFD value shift policy effect multiplier[1]",0.15,0.1,0.2,,,,,,,,,,,1,
"Behavior Change Policy.value shift policy start year",2030,,,,,,,,,,,,,1,
"Behavior Change Policy.value shift policy switch",0,0,1,,,,,,,,,,,1,
"Behavior Change Policy.value shift policy time to fully take effect[1]",10,10,20,,,,,,,,,,,1,
"Climate Risk Perception.additional time horizon of reference climate extremes exposure[1]",51.2163026455198,10,100,,,,,,,1,,,,,
"Climate Risk Perception.additional time horizon of reference SLR flooding exposure[1]",48.0535198427008,10,100,,,,,,,1,,,,,
"Climate Risk Perception.maximum effect of additional environmental consciousness on climate information sensitivity[1]",0.5,0.25,0.75,1,,,,,,,,,,,
"Climate Risk Perception.maximum effect of additional environmental consciousness on reference time horizon[1]",5,2.5,7.5,1,,,,,,,,,,,
"Climate Risk Perception.minimum reference for SLR flooding exposure[1]",10,5,15,1,,,,,,,,,,,
"Climate Risk Perception.normal additional time horizon of reference temperature anomaly[1]",10.0402187408018,10,100,,,,,,,1,,,,,
"Climate Risk Perception.normal perceived climate change risk",1,,,1,,,,,,,,,,,
"Climate Risk Perception.normal sensitivity to climate information[1]",0.331083334907407,0,1,,,,,,,1,,,,,
"Climate Risk Perception.sensitivity to climatic events exposure[1]",0.335252686996513,0,1,,,,,,,1,,,,,
"Climate Risk Perception.time to perceive climate extremes exposure[1]",6.29075685432675,1,10,,,,,,,1,,,,,
"Climate Risk Perception.time to perceive SLR flooding exposure[1]",3.82072913928201,1,10,,,,,,,1,,,,,
"Climate Risk Perception.time to report and perceive climate information[1]",8.63888985837979,1,10,,,,,,,1,,,,,
"Fertilizer Demand.C per N in fertillizer",0.321,,,,,,,,1,,,,,,
"Fertilizer Demand.elasticity of demand to GDP[1]",0.697662022076866,0,2,,,,,,,1,,,,,
"Fertilizer Demand.elasticity of demand to natural gas[1]",-2,-2,-0.05,,,,,,,1,,,,,
"Fertilizer Demand.Energy factor",1.5,,,,,,,,1,,,,,,
"Fertilizer Demand.expectation time horizon",1,,,1,,,,,,,,,,,
"Fertilizer Demand.growth rate of socioeconomic effect[1]",-0.5,-7.5,-0.5,,,,,,,1,,,,,
"Fertilizer Demand.inflection point of relative GDP",1,,,1,,,,,,,,,,,
"Fertilizer Demand.initial fertilizer demand in 1980[1]",90,80,90,,,,,,,1,,,,,
"Fertilizer Demand.initial ten year growth rate demand[1]",-0.045,-0.045,0.05,,,,,,,1,,,,,
"Fertilizer Demand.initial yearly growth rate demand[1]",-0.0282440494358906,-0.1,0.1,,,,,,,1,,,,,
"Fertilizer Demand.maximum useful fertilizer per Mha",0.0667184611741578,0.065,0.235,,,,,,1,,,,,,
"Fertilizer Demand.normal perceived social value",1,,,1,,,,,,,,,,,
"Fertilizer Demand.range of socioeconomic effect[1]",0.5,0.5,1.5,1,,,,,,,,,,,
"Fertilizer Demand.reference GDP per person for socioeconomic effect[1]",45000,45000,55000,,,,,,1,,,,,,
"Fertilizer Demand.reference weight of accessibility[1]",0.333333333333,,,1,,,,,,,,,,,
"Fertilizer Demand.referenced scarcity[1]",1,,,1,,,,,,,,,,,
"Fertilizer Demand.relative weight of personal norm[1]",0.5,,,1,,,,,,,,,,,
"Fertilizer Demand.sensitivity of personal norm to consumption risk[1]",-2,-2,-0.1,,,,,,,1,,,,,
"Fertilizer Demand.sensitivity of personal norm to social value[1]",0.45695097012183,0.1,1,,,,,,,1,,,,,
"Fertilizer Demand.sensitivity of social value perception[1]",2,0.1,2,,,,,,,1,,,,,
"Fertilizer Demand.sensitivity scarcity to changes in demand[1]",0.85,0,0.85,,,,,,,1,,,,,
"Fertilizer Demand.supplier forecasting adjustment time[1]",20,3,20,1,,,,,,,,,,,
"Fertilizer Demand.time horizon for long term perception[1]",20,20,100,,,,,,,1,,,,,
"Fertilizer Demand.time horizon for short term perception[1]",8.66199955339352,1,20,,,,,,,1,,,,,
"Fertilizer Demand.time to adjust demand pattern[1]",1,1,10,,,,,,,1,,,,,
"Fertilizer Demand.time to adjust desired demand from accessibility[1]",1,1,5,,,,,,,1,,,,,
"Fertilizer Demand.time to adjust value perception[1]",4.00720801004195,3,50,,,,,,,1,,,,,
"Fertilizer Demand.time to observe consequences[1]",1.43915959450765,1,30,,,,,,,1,,,,,
"Fertilizer Demand.time to perceive yearly consumption[1]",4.70468335986948,1,5,,,,,,,1,,,,,
"Fertilizer Demand.UNIT c$ per billion c$",1000000000,,,,,,,,,,,,,,1
"Fertilizer Demand.UNIT MtC to GtC[1]",1000,,,,,,,,,,,,,,1
"Fertilizer Demand.UNIT p per Mp",1000000,,,,,,,,,,,,,,1
"Fertilizer Demand.UNIT tC per GtC",1000000000,,,,,,,,,,,,,,1
"Fertilizer Demand.UNIT tN per MtN",1000000,,,,,,,,,,,,,,1
"Total Food Demand.average daily demand per capita in 1980[1]",2475.25185050803,2300,2500,,,,,,,1,,,,,
"Total Food Demand.elasticity of demand to GDP[1]",0.303726339590571,0,1,,,,,,,1,,,,,
"Total Food Demand.expectation time horizon",1,,,1,,,,,,,,,,,
"Total Food Demand.growth rate of socioeconomic effect[1]",-4.10797347581179,-7.5,-2.5,,,,,,,1,,,,,
"Total Food Demand.healthy reference daily consumption per capita",2500,,,,,,,,1,,,,,,
"Total Food Demand.inflection point of relative GDP",1,,,1,,,,,,,,,,,
"Total Food Demand.minimum required daily caloric intake",1800,,,,,,,,1,,,,,,
"Total Food Demand.normal perceived social value",1,,,1,,,,,,,,,,,
"Total Food Demand.range of socioeconomic effect[1]",1,0.5,1.5,1,,,,,,,,,,,
"Total Food Demand.reference GDP per person for socioeconomic effect[1]",50000,45000,55000,,,,,,1,,,,,,
"Total Food Demand.reference weight of accessibility[1]",0.333333333333,,,1,,,,,,,,,,,
"Total Food Demand.relative weight of personal norm[1]",0.5,,,1,,,,,,,,,,,
"Total Food Demand.sensitivity of demand to scarcity[1]",0.386411926851569,0,1,,,,,,,1,,,,,
"Total Food Demand.sensitivity of personal norm to climate risk[1]",-0.268608023435567,-1,-0.01,,,,,,,1,,,,,
"Total Food Demand.sensitivity of personal norm to consumption risk[1]",-0.941690205379273,-1,-0.1,,,,,,,1,,,,,
"Total Food Demand.sensitivity of personal norm to social value[1]",0.943373998707978,0.1,1,,,,,,,1,,,,,
"Total Food Demand.sensitivity of social value perception[1]",1.13994269063283,0.1,2,,,,,,,1,,,,,
"Total Food Demand.time horizon for long term perception[1]",54.9780116773152,20,100,,,,,,,1,,,,,
"Total Food Demand.time horizon for short term perception[1]",1.99767221709275,1,20,,,,,,,1,,,,,
"Total Food Demand.time to adjust consumption pattern[1]",1.43128254488622,1,10,,,,,,,1,,,,,
"Total Food Demand.time to adjust desired demand from accessibility[1]",1,1,5,,,,,,,1,,,,,
"Total Food Demand.time to adjust value perception[1]",4.69868106624158,3,50,,,,,,,1,,,,,
"Total Food Demand.time to observe consequences[1]",7.58321382362324,5,30,,,,,,,1,,,,,
"Total Food Demand.time to perceive average consumption[1]",1.32672207708483,1,5,,,,,,,1,,,,,
"Total Food Demand.tolerance of minimum required caloric intake[1]",100,,,1,,,,,,,,,,,
"Total Food Demand.UNIT c$ per billion c$",1000000000,,,,,,,,,,,,,,1
"Total Food Demand.UNIT cal per pcal",1000000000000,,,,,,,,,,,,,,1
"Total Food Demand.UNIT days per year",365,,,,,,,,,,,,,,1
"Total Food Demand.UNIT p per Mp",1000000,,,,,,,,,,,,,,1
"Transportation Energy Demand.average daily demand per capita in 1980[1]",0.00466538048848213,0.00005,1,,,,,,,1,,,,,
"Transportation Energy Demand.base of health risk of emissions[1]",9.10766465888556,2,12,,,,,,,1,,,,,
"Transportation Energy Demand.Delay for clean energy to be perceived in transportation[1]",4.76330772218751,1,50,1,,,,,,,,,,,
"Transportation Energy Demand.elasticity of demand to GDP[1]",0.775969661918279,0,1,,,,,,,1,,,,,
"Transportation Energy Demand.expectation time horizon",1,,,1,,,,,,,,,,,
"Transportation Energy Demand.growth rate of socioeconomic effect[1]",-5.2749532515882,-7.5,-2.5,,,,,,,1,,,,,
"Transportation Energy Demand.inflection point of relative GDP",1,,,1,,,,,,,,,,,
"Transportation Energy Demand.normal perceived social value",1,,,1,,,,,,,,,,,
"Transportation Energy Demand.range of socioeconomic effect[1]",1,0.5,1.5,1,,,,,,,,,,,
"Transportation Energy Demand.reference GDP per person for socioeconomic effect[1]",50000,45000,55000,,,,,,1,,,,,,
"Transportation Energy Demand.reference weight of accessibility[1]",0.333333333333,,,1,,,,,,,,,,,
"Transportation Energy Demand.relative weight of personal norm[1]",0.5,,,1,,,,,,,,,,,
"Transportation Energy Demand.sensitivity of demand to scarcity[1]",-1,-1,1,,,,,,,1,,,,,
"Transportation Energy Demand.sensitivity of personal norm to climate risk[1]",-0.801054121984422,-6,-0.01,,,,,,,1,,,,,
"Transportation Energy Demand.sensitivity of personal norm to consumption risk[1]",-0.143684559098656,-1,-0.1,,,,,,,1,,,,,
"Transportation Energy Demand.sensitivity of personal norm to social value[1]",0.912744291285098,0.1,1,,,,,,,1,,,,,
"Transportation Energy Demand.sensitivity of social value perception[1]",0.1,0.1,2,,,,,,,1,,,,,
"Transportation Energy Demand.start value of Health risk of emissions[1]",1.16156078438759,0.5,6,,,,,,,1,,,,,
"Transportation Energy Demand.time horizon for long term perception[1]",96.3556695938894,20,100,,,,,,,1,,,,,
"Transportation Energy Demand.time horizon for short term perception[1]",8.08066380535872,1,20,,,,,,,1,,,,,
"Transportation Energy Demand.time to adjust consumption pattern[1]",1,1,10,,,,,,,1,,,,,
"Transportation Energy Demand.time to adjust desired demand from accessibility[1]",1,1,5,,,,,,,1,,,,,
"Transportation Energy Demand.time to adjust value perception[1]",3.01000753525928,3,50,,,,,,,1,,,,,
"Transportation Energy Demand.time to observe consequences[1]",7.43228905745963,5,30,,,,,,,1,,,,,
"Transportation Energy Demand.time to perceive average consumption[1]",1.00539855522556,1,5,,,,,,,1,,,,,
"Transportation Energy Demand.UNIT c$ per billion c$",1000000000,,,,,,,,,,,,,,1
"Transportation Energy Demand.UNIT days per year",365,,,,,,,,,,,,,,1
"Transportation Energy Demand.UNIT p per Mp",1000000,,,,,,,,,,,,,,1
"Behavioral Choices.start year",2025,,,,,,,,,,,,,1,
"Behavioral Choices.switch animal products fraction policy",0,0,1,,,,,,,,,,,1,
"Behavioral Choices.switch aquatic animal products fraction policy",0,0,1,,,,,,,,,,,1,
"Behavioral Choices.switch energy demand policy",0,0,1,,,,,,,,,,,1,
"Behavioral Choices.switch environmental consciousness policy",0,0,1,,,,,,,,,,,1,
"Behavioral Choices.switch food demand policy",0,0,1,,,,,,,,,,,1,
"Climate.climate impact stoptime",1979,1979,2130,,,,,,,,1,,,,
