Variable,Value,Min,Max,Assumption,Calibrated Output,Climate Impact Parameter,Discrete Outflow,Explanatory Variable,External Parameter,Internal Calibration Parameter,No Sensi,Output,Parameter,Policy,Unit
"Climate.switch behavioral impact",1,0,1,,,,,,,,1,,,,
"Climate.switch concrete impact",1,0,1,,,,,,,,1,,,,
"Climate.switch demography damage",1,0,1,,,,,,,,1,,,,
"Climate.switch energy damage",1,0,1,,,,,,,,1,,,,
"Climate.switch finance damage",1,0,1,,,,,,,,1,,,,
"Climate.switch government damage",1,0,1,,,,,,,,1,,,,
"Climate.switch internal to climate land carbon impact",1,0,1,,,,,,,,1,,,,
"Climate.switch labor damage",1,0,1,,,,,,,,1,,,,
"Climate.switch landuse damage",1,0,1,,,,,,,,1,,,,
"Climate.switch sea level rise climate risk perception",1,0,1,,,,,,,,1,,,,
"Climate.switch sea level rise damage",1,0,1,,,,,,,,1,,,,
"Climate.switch sea level rise fatalities damage",1,0,1,,,,,,,,1,,,,
"Climate.switch sea level rise finance damage",1,0,1,,,,,,,,1,,,,
"Climate.switch sea level rise productivity reduction damage",1,0,1,,,,,,,,1,,,,
"Climate.switch sea level rise protection cost damage",1,0,1,,,,,,,,1,,,,
"Climate.switch sea level rise relocation cost damage",1,0,1,,,,,,,,1,,,,
"Climate Units.Mass of the Atmosphere",5135200000000000000,,,,,,,,,,,,,,1
"Climate Units.Molecular Weight of Air",28.97,,,,,,,,,,,,,,1
"Climate Units.MtSO2 to tSO2",1000000,,,,,,,,,,,,,,1
"Climate Units.selected climate case[1]",20,,,,,,,,,,1,,,,
"Climate Units.selected cold mortality impact case[1]",6,,,,,,,,,,1,,,,
"Climate Units.selected crops damages case[1]",6,,,,,,,,,,1,,,,
"Climate Units.selected energy supply hydroelectric damages case[1]",6,,,,,,,,,,1,,,,
"Climate Units.selected energy supply thermoelectric damages case[1]",6,,,,,,,,,,1,,,,
"Climate Units.selected extremes exposure damages case[1]",6,,,,,,,,,,1,,,,
"Climate Units.selected hot mortality impact case[1]",6,,,,,,,,,,1,,,,
"Climate Units.UNIT deg C to unitless",1,,,,,,,,,,,,,,1
"Climate Units.UNIT fraction to ppm",1000000,,,,,,,,,,,,,,1
"Climate Units.UNIT GtC to kmol",83259093975,,,,,,,,,,,,,,1
"Climate Units.UNIT Kelvin at 0 deg C unitless",273.15,,,,,,,,,,,,,,1
"Climate Units.UNIT kt to kg",1000000,,,,,,,,,,,,,,1
"Climate Units.UNIT ktN2O to MtN2O",0.001,,,,,,,,,,,,,,1
"Climate Units.UNIT ktN2O to tCO2e",273000000,,,,,,,,,,,,,,1
"Climate Units.UNIT MtCH4 to tCO2e",28000000,,,,,,,,,,,,,,1
"Climate Units.UNIT MtCO2 to GtCO2",0.001,,,,,,,,,,,,,,1
"Climate Units.UNIT MtCO2 to tCO2e",1000000,,,,,,,,,,,,,,1
"Climate Units.UNIT ppm to ppb",1000,,,,,,,,,,,,,,1
"Climate Units.UNIT ppm to ppt",1000000,,,,,,,,,,,,,,1
"Climate Units.UNIT ppt to ppb",0.001,,,,,,,,,,,,,,1
"Climate Units.UNIT Seconds per year",31557600,,,,,,,,,,,,,,1
"Climate Units.UNIT Sv to Cubic metre",1000000,,,,,,,,,,,,,,1
"Climate Units.UNIT weight ratio of CO2 over C",3.664149467,,,,,,,,,,,,,,1
"Emissions.Baseline CO Emissions",341.323725296338,,,,,,,,,,1,,,,
"Emissions.baseline Food and Land use CH4 emissions[1]",46.7098266259576,40,60,,,,,,,1,,,,,
"Emissions.baseline Food and Land Use N2O emissions[1]",3691.19740990857,2000,4000,,,,,,,1,,,,,
"Emissions.baseline GDP per person[1]",7.508917812,5,15,,,,,,,1,,,,,
"Emissions.baseline HFC134a eq per person[1]",0.00152911881560677,0,0.02,,,,,,,1,,,,,
"Emissions.Baseline N2O non AFOLU Emissions",7.620962797,,,,,,,,,,1,,,,
"Emissions.baseline N2O per person[1]",0.000132942470536747,0,0.0002,,,,,,,1,,,,,
"Emissions.baseline non fossil CH4 per person[1]",0.00981195479395444,0,0.05,,,,,,,1,,,,,
"Emissions.Baseline NOx AFOLU Emissions",19.32944635,,,,,,,,,,1,,,,
"Emissions.Baseline NOx non AFOLU Emissions",0.116807659,,,,,,,,,,1,,,,
"Emissions.Baseline VOC Emissions",59.4263662576475,,,,,,,,,,1,,,,
"Emissions.CH4 Baseline Emissions",26.6240668095578,,,,,,,,,,1,,,,
"Emissions.CO Emissions per CH4 Emissions",1.840831945,,,,,,,,,,1,,,,
"Emissions.desulphurisation rate of energy related emissions[1, Gas]",-0.0361797285928523,-0.1,0,,,,,,,1,,,,,
"Emissions.desulphurisation rate of energy related emissions[1, Oil]",-0.0188666699148905,-0.1,0,,,,,,,1,,,,,
"Emissions.desulphurisation rate of energy related emissions[1, Coal]",-0.0383582127304921,-0.1,0,,,,,,,1,,,,,
"Emissions.effective CDD logistic speed[1]",3.34499805495326,0,10,,,,,,,1,,,,,
"Emissions.GtC to MtCO2",3664,,,,,,,,,,,,,,1
"Emissions.Initial Fossil Energy CH4 Intensity[1, Gas]",28.9345478534253,5,50,,,,,,,1,,,,,
"Emissions.Initial Fossil Energy CH4 Intensity[1, Oil]",19.0025146824999,5,50,,,,,,,1,,,,,
"Emissions.Initial Fossil Energy CH4 Intensity[1, Coal]",34.4451718431361,5,50,,,,,,,1,,,,,
"Emissions.Initial Fossil Energy N2O Intensity[1, Gas]",226.848954704993,50,500,,,,,,,1,,,,,
"Emissions.Initial Fossil Energy N2O Intensity[1, Oil]",277.709310218157,50,500,,,,,,,1,,,,,
"Emissions.Initial Fossil Energy N2O Intensity[1, Coal]",499.639768375586,50,500,,,,,,,1,,,,,
"Emissions.Initial Fossil Energy Sulfur Intensity[1, Gas]",40.041761579119,5,50,,,,,,,1,,,,,
"Emissions.Initial Fossil Energy Sulfur Intensity[1, Oil]",12.5311771546941,5,50,,,,,,,1,,,,,
"Emissions.Initial Fossil Energy Sulfur Intensity[1, Coal]",48.4416379781151,5,50,,,,,,,1,,,,,
"Emissions.MtCH4 emission per PCal animal products 1980[1]",0.117148779927286,0,0.3,,,,,,,1,,,,,
"Emissions.MtN2O emission per PCal animal products 1980[1]",0.00256924857836404,0,0.01,,,,,,,1,,,,,
"Emissions.N2O Baseline Emissions",999.096311544182,,,,,,,,,,1,,,,
"Emissions.NOx AFOLU Emissions per SO2 Emissions",0.045240674,,,,,,,,,,1,,,,
"Emissions.NOx non AFOLU emissions per N2O non AFOLU emissions",0.038370803,,,,,,,,,,1,,,,
"Emissions.rate of change in energy related CH4 emissions[1, Gas]",-0.0722212629576704,-0.2,0,,,,,,,1,,,,,
"Emissions.rate of change in energy related CH4 emissions[1, Oil]",-0.0447143748160744,-0.2,0,,,,,,,1,,,,,
"Emissions.rate of change in energy related CH4 emissions[1, Coal]",-0.00146366448317569,-0.2,0,,,,,,,1,,,,,
"Emissions.rate of change in energy related N2O emissions[1, Gas]",-0.0176993617033169,-0.05,0,,,,,,,1,,,,,
"Emissions.rate of change in energy related N2O emissions[1, Oil]",-0.00869805586799937,-0.05,0,,,,,,,1,,,,,
"Emissions.rate of change in energy related N2O emissions[1, Coal]",-0.023197225810528,-0.05,0,,,,,,,1,,,,,
"Emissions.rate of decline in MtCH4 emission per PCal animal products[1]",0.0140009683559439,0,0.018,,,,,,,1,,,,,
"Emissions.rate of decline in MtN2O emission per PCal animal products[1]",0.00137867223604397,0,0.02,,,,,,,1,,,,,
"Emissions.rate of decline in tN2O emission per tN fertilizer[1]",0.00596260172254414,0,0.02,,,,,,,1,,,,,
"Emissions.sensitivity of HFC134a eq per person to relative CDD[1]",8.09022641255435,1,10,,,,,,,1,,,,,
"Emissions.sensitivity of non fossil CH4 per person to GDP per capita[1]",0,-1,1,,,,,,,1,,,,,
"Emissions.sensitivity of Other N2O per person to GDP per capita[1]",-0.275015555994815,-1,1,,,,,,,1,,,,,
"Emissions.share of total carbon from biofuels that is process emissions",0.6,,,,,,,,,,1,,,,
"Emissions.SO2 Baseline Emissions",2.29765864298516,,,,,,,,,,1,,,,
"Emissions.SO2 Emissions from Food and Land Use[1]",2.04331,,,,1,,,,,,,,,,
"Emissions.tN2O emission per tN fertilizer 1980[1]",0.0255426788719578,0,0.1,,,,,,,1,,,,,
"Emissions.VOC Emissions per CH4 Emissions",0.437174718,,,,,,,,,,1,,,,
"Energy Balance Model.Absolute Surface Temperature 1850 to 1900",13.618,,,,,,,,,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[1]",1.66963865825059,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[2]",0.342238916644824,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[3]",0.813883065348614,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[4]",1.25566029806212,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[5]",1.47523408621687,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[6]",1.08577764934398,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[7]",1.21000435863539,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[8]",1.04591285677262,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[9]",0.687468593583791,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[10]",1.3745960167253,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[11]",1.12404878975318,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[12]",0.941629774705509,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[13]",0.864188226172977,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[14]",0.967374608435546,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[15]",1.40460969540209,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[16]",0.971051631684699,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[17]",1.52304903764127,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[18]",1.586939307008,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[19]",1.01071640936508,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[20]",1.58915550637442,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[21]",1.07694854790971,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[22]",1.09591462454821,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[23]",1.24121407398192,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[24]",1.51386746226347,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[25]",1.18541512723061,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[26]",0.721586799250795,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[27]",1.31201879161002,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[28]",1.19619147873494,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[29]",1.29800270849429,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[30]",0.844301814685784,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[31]",0.892347881289907,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[32]",1.16397643012751,,,,,,,,1,,1,,,,
"Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor[33]",0.764784730392246,,,,,,,,1,,1,,,,
