Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
World,WLD,"Population, total",SP.POP.TOTL,3031474234,3072421801,3126849612,3193428894,3260441925,3328209022,3398480280,3468370526,3540164023,3614572835,3690209960,3767930001,3843607574,3920017410,3995888368,4070022249,4143091942,4215826364,4289795862,4365742277,4442348279,4520917350,4602701335,4684875627,4766640881,4850076923,4936006502,5024289346,5113387878,5202582534,5293395467,5382536929,5470164577,5556623321,5642046034,5726736488,5811580202,5896055962,5979726559,6062288850,6144321462,6226348086,6308140970,6389462496,6470924346,6552700448,6635110367,6717567584,6801440971,6885663352,6969985525,7054044372,7141386257,7229303088,7317040295,7403850164,7490415449,7576441961,7660371127,7741774583,7820205606,7888305693,7950946801,8021179605,8094539255,8167424601,8239493198,8310693535,8381031076,8450488958,8519038564,8586654246,8653358521,8719131751,8783863719,8847626316,8910359883,8972183579,9033159298,9093218586,9152305069,9210441794,9267484890,9323213865,9377570691,9430325838,9481484627,9530957309,9578676069,9624653862,9668479171
World,WLD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.69585447747259,4.57558682331231,5.03517319252654,5.32342829673039,5.14142044439158,5.09354060704565,4.97745610236851,4.87230896384862,4.98243361298717,4.88624821241342,4.84631056148406,4.69591926035808,4.55438387026764,4.42445965966688,4.26371871344688,4.0798998170592,3.97231465442068,3.84639653885135,3.77830145094814,3.76097268694449,3.73471340112249,3.70806832634147,3.72304547930651,3.59433791505987,3.56834444590803,3.53121535486195,3.51731970692646,3.4876208531063,3.39613123788742,3.34634303687336,3.30544149103758,3.12441170494208,3.03803692875779,2.96937260917607,2.91550595694393,2.86143738332609,2.81355167107889,2.77137413396533,2.73605860630137,2.70908918800366,2.71846496860982,2.68064786910707,2.65374683882845,2.63003724874443,2.62139879008116,2.6031561062806,2.59527910017808,2.59427028491608,2.59359990782243,2.5797615054047,2.55458173874789,2.53406006630992,2.5496430991073,2.51424842619762,2.5065784810457,2.47790957201916,2.48115559973118,2.45927223821425,2.39740742486869,2.3606087181835,2.29966617574505,2.27316335245758,..,..,..,2.25211640045299,..,..,..,..,2.2211793734937,..,..,..,..,2.19072702931284,..,..,..,..,2.16642861565288,..,..,..,..,2.13690938207881,..,..,..,..,2.10206661324743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Population, total in Mp",,3031.474234,3072.421801,3126.849612,3193.428894,3260.441925,3328.209022,3398.48028,3468.370526,3540.164023,3614.572835,3690.20996,3767.930001,3843.607574,3920.01741,3995.888368,4070.022249,4143.091942,4215.826364,4289.795862,4365.742277,4442.348279,4520.91735,4602.701335,4684.875627,4766.640881,4850.076923,4936.006502,5024.289346,5113.387878,5202.582534,5293.395467,5382.536929,5470.164577,5556.623321,5642.046034,5726.736488,5811.580202,5896.055962,5979.726559,6062.28885,6144.321462,6226.348086,6308.14097,6389.462496,6470.924346,6552.700448,6635.110367,6717.567584,6801.440971,6885.663352,6969.985525,7054.044372,7141.386257,7229.303088,7317.040295,7403.850164,7490.415449,7576.441961,7660.371127,7741.774583,7820.205606,7888.305693,7950.946801,8021.179605,8094.539255,8167.424601,8239.493198,8310.693535,8381.031076,8450.488958,8519.038564,8586.654246,8653.358521,8719.131751,8783.863719,8847.626316,8910.359883,8972.183579,9033.159298,9093.218586,9152.305069,9210.441794,9267.48489,9323.213865,9377.570691,9430.325838,9481.484627,9530.957309,9578.676069,9624.653862,9668.479171
